Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N2 High Memory 64,n2-highmem-64,512 GiB,64,€2.1888 hourly,€0.9458 hourly,€4.7007 hourly,€3.4576 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.2736 hourly,€0.1182 hourly,€0.5876 hourly,€0.4322 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€2.736 hourly,€1.1822 hourly,€5.8758 hourly,€4.322 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€3.2833 hourly,€1.4186 hourly,€7.051 hourly,€5.1864 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€3.915 hourly,€1.4023 hourly,€8.9386 hourly,€6.4259 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.4894 hourly,€0.1753 hourly,€1.1173 hourly,€0.8032 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0612 hourly,€0.0219 hourly,€0.1397 hourly,€0.1004 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€0.9787 hourly,€0.3506 hourly,€2.2347 hourly,€1.6065 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.1223 hourly,€0.0438 hourly,€0.2793 hourly,€0.2008 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€1.4681 hourly,€0.5258 hourly,€3.352 hourly,€2.4097 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€1.9575 hourly,€0.7011 hourly,€4.4693 hourly,€3.213 hourly
