Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 Standard 8,c4-standard-8,30 GiB,8,€0.3714 hourly,€0.1486 hourly,€0.6854 hourly,€0.4625 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.3714 hourly,€0.1486 hourly,€0.6854 hourly,€0.4625 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.4569 hourly,€1.7827 hourly,€8.2246 hourly,€5.5504 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.4569 hourly,€1.7827 hourly,€8.2246 hourly,€5.5504 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3717 hourly,€0.0562 hourly,€0.9997 hourly,€0.6841 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0465 hourly,€0.007 hourly,€0.125 hourly,€0.0855 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.7435 hourly,€0.1123 hourly,€1.9994 hourly,€1.3683 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0929 hourly,€0.014 hourly,€0.2499 hourly,€0.171 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1859 hourly,€0.0281 hourly,€0.4999 hourly,€0.3421 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.6793 hourly,€0.1025 hourly,€1.3072 hourly,€0.7305 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0849 hourly,€0.0128 hourly,€0.1634 hourly,€0.0913 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1698 hourly,€0.0256 hourly,€0.3268 hourly,€0.1826 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3396 hourly,€0.0513 hourly,€0.6536 hourly,€0.3652 hourly
E2 Medium,e2-medium,4 GiB,2,€0.052 hourly,€0.0078 hourly,€0.1305 hourly,€0.0863 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0437 hourly,€0.0066 hourly,€0.1222 hourly,€0.0851 hourly
E2 Small,e2-small,2 GiB,2,€0.0465 hourly,€0.007 hourly,€0.125 hourly,€0.0855 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5035 hourly,€0.076 hourly,€1.1315 hourly,€0.704 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0629 hourly,€0.0095 hourly,€0.1414 hourly,€0.088 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.0071 hourly,€0.1521 hourly,€2.263 hourly,€1.408 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1259 hourly,€0.019 hourly,€0.2829 hourly,€0.176 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2518 hourly,€0.038 hourly,€0.5657 hourly,€0.352 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.4137 hourly,€0.1477 hourly,€0.8847 hourly,€0.6187 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.5516 hourly,€0.197 hourly,€1.1796 hourly,€0.8249 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.8274 hourly,€0.2955 hourly,€1.7694 hourly,€1.2374 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.1032 hourly,€0.394 hourly,€2.3592 hourly,€1.6499 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1379 hourly,€0.0492 hourly,€0.2949 hourly,€0.2062 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.6549 hourly,€0.591 hourly,€3.5387 hourly,€2.4748 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.2758 hourly,€0.0985 hourly,€0.5898 hourly,€0.4125 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.3097 hourly,€1.1819 hourly,€7.0775 hourly,€4.9497 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€3.7446 hourly,€1.9427 hourly,€7.1983 hourly,€5.3965 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€1.3537 hourly,€1.3694 hourly,€6.3774 hourly,€6.393 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€0.6769 hourly,€0.6847 hourly,€3.1887 hourly,€3.1965 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€2.289 hourly,€2.362 hourly,€7.3126 hourly,€7.3856 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€0.5722 hourly,€0.5905 hourly,€1.8282 hourly,€1.8464 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€1.1445 hourly,€1.181 hourly,€3.6563 hourly,€3.6928 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€1.3388 hourly,€0.5676 hourly,€1.9667 hourly,€1.1955 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€2.6776 hourly,€1.1351 hourly,€3.9335 hourly,€2.3911 hourly
M4 Hypermem 64,m4-hypermem-64,992 GiB,64,€5.3552 hourly,€2.2703 hourly,€7.867 hourly,€4.7821 hourly
M4 Mega Memory 112,m4-megamem-112,1488 GiB,112,€8.3072 hourly,€3.5238 hourly,€12.7029 hourly,€7.9195 hourly
M4 Mega Memory 224,m4-megamem-224,2976 GiB,224,€16.6145 hourly,€7.0476 hourly,€25.4058 hourly,€15.8389 hourly
M4 Mega Memory 28,m4-megamem-28,372 GiB,28,€2.0768 hourly,€0.8809 hourly,€3.1757 hourly,€1.9799 hourly
M4 Mega Memory 56,m4-megamem-56,744 GiB,56,€4.1536 hourly,€1.7619 hourly,€6.3515 hourly,€3.9597 hourly
M4 Ultra Memory 112,m4-ultramem-112,2976 GiB,112,€14.6931 hourly,€6.2191 hourly,€19.0888 hourly,€10.6148 hourly
M4 Ultra Memory 224,m4-ultramem-224,5952 GiB,224,€29.3863 hourly,€12.4381 hourly,€38.1777 hourly,€21.2295 hourly
M4 Ultra Memory 56,m4-ultramem-56,1488 GiB,56,€7.3466 hourly,€3.1095 hourly,€9.5444 hourly,€5.3074 hourly
N1 High CPU 16,n1-highcpu-16,14.400390625 GiB,16,€0.5324 hourly,€0.1723 hourly,€1.1604 hourly,€0.8002 hourly
N1 High CPU 2,n1-highcpu-2,1.7998046875 GiB,2,€0.0665 hourly,€0.0215 hourly,€0.145 hourly,€0.10 hourly
N1 High CPU 32,n1-highcpu-32,28.7998046875 GiB,32,€1.0648 hourly,€0.3445 hourly,€2.3207 hourly,€1.6004 hourly
N1 High CPU 4,n1-highcpu-4,3.599609375 GiB,4,€0.1331 hourly,€0.0431 hourly,€0.2901 hourly,€0.2001 hourly
N1 High CPU 64,n1-highcpu-64,57.599609375 GiB,64,€2.1296 hourly,€0.689 hourly,€4.6414 hourly,€3.2008 hourly
N1 High CPU 8,n1-highcpu-8,7.2001953125 GiB,8,€0.2662 hourly,€0.0861 hourly,€0.5802 hourly,€0.4001 hourly
N1 High CPU 96,n1-highcpu-96,86.400390625 GiB,96,€3.1944 hourly,€1.0335 hourly,€6.9621 hourly,€4.8013 hourly
N1 High Memory 16,n1-highmem-16,104 GiB,16,€0.8889 hourly,€0.2876 hourly,€1.5169 hourly,€0.9156 hourly
