Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0149 hourly,€0.0197 hourly,€0.0934 hourly,€0.0982 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€0.2383 hourly,€0.3156 hourly,€1.4943 hourly,€1.5716 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.0298 hourly,€0.0395 hourly,€0.1868 hourly,€0.1964 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€0.3575 hourly,€0.4735 hourly,€2.2414 hourly,€2.3573 hourly
N2 High CPU 64,n2-highcpu-64,64 GiB,64,€0.4767 hourly,€0.6313 hourly,€2.9885 hourly,€3.1431 hourly
N2 High CPU 8,n2-highcpu-8,8 GiB,8,€0.0596 hourly,€0.0789 hourly,€0.3736 hourly,€0.3929 hourly
N2 High CPU 80,n2-highcpu-80,80 GiB,80,€0.5959 hourly,€0.7891 hourly,€3.7356 hourly,€3.9289 hourly
N2 High CPU 96,n2-highcpu-96,96 GiB,96,€0.715 hourly,€0.9469 hourly,€4.4828 hourly,€4.7147 hourly
N2 High Memory 128,n2-highmem-128,864 GiB,128,€4.0929 hourly,€2.1235 hourly,€9.1166 hourly,€7.1472 hourly
N2 High Memory 16,n2-highmem-16,128 GiB,16,€0.5969 hourly,€0.2888 hourly,€1.2249 hourly,€0.9168 hourly
N2 High Memory 2,n2-highmem-2,16 GiB,2,€0.0746 hourly,€0.0361 hourly,€0.1531 hourly,€0.1146 hourly
N2 High Memory 32,n2-highmem-32,256 GiB,32,€1.1939 hourly,€0.5777 hourly,€2.4498 hourly,€1.8336 hourly
N2 High Memory 4,n2-highmem-4,32 GiB,4,€0.1492 hourly,€0.0722 hourly,€0.3062 hourly,€0.2292 hourly
N2 High Memory 48,n2-highmem-48,384 GiB,48,€1.7908 hourly,€0.8665 hourly,€3.6747 hourly,€2.7504 hourly
N2 High Memory 64,n2-highmem-64,512 GiB,64,€2.3877 hourly,€1.1553 hourly,€4.8996 hourly,€3.6672 hourly
N2 High Memory 8,n2-highmem-8,64 GiB,8,€0.2985 hourly,€0.1444 hourly,€0.6124 hourly,€0.4584 hourly
N2 High Memory 80,n2-highmem-80,640 GiB,80,€2.9847 hourly,€1.4442 hourly,€6.1244 hourly,€4.5839 hourly
N2 High Memory 96,n2-highmem-96,768 GiB,96,€3.5816 hourly,€1.733 hourly,€7.3493 hourly,€5.5007 hourly
N2 Standard 128,n2-standard-128,512 GiB,128,€2.5914 hourly,€1.7118 hourly,€7.6151 hourly,€6.7354 hourly
N2 Standard 16,n2-standard-16,64 GiB,16,€0.3239 hourly,€0.214 hourly,€0.9519 hourly,€0.8419 hourly
N2 Standard 2,n2-standard-2,8 GiB,2,€0.0405 hourly,€0.0267 hourly,€0.119 hourly,€0.1052 hourly
N2 Standard 32,n2-standard-32,128 GiB,32,€0.6479 hourly,€0.4279 hourly,€1.9038 hourly,€1.6839 hourly
N2 Standard 4,n2-standard-4,16 GiB,4,€0.081 hourly,€0.0535 hourly,€0.238 hourly,€0.2105 hourly
N2 Standard 48,n2-standard-48,192 GiB,48,€0.9718 hourly,€0.6419 hourly,€2.8556 hourly,€2.5258 hourly
N2 Standard 64,n2-standard-64,256 GiB,64,€1.2957 hourly,€0.8559 hourly,€3.8075 hourly,€3.3677 hourly
