Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 144 lssd,c4-highmem-144-lssd,1116 GiB,144,€6.6668 hourly,€4.7915 hourly,€12.3184 hourly,€10.4431 hourly
C4 High Memory 16,c4-highmem-16,124 GiB,16,€0.7408 hourly,€0.5324 hourly,€1.3687 hourly,€1.1603 hourly
C4 High Memory 16 lssd,c4-highmem-16-lssd,124 GiB,16,€0.7408 hourly,€0.5324 hourly,€1.3687 hourly,€1.1603 hourly
C4 High Memory 192,c4-highmem-192,1488 GiB,192,€8.8891 hourly,€6.3886 hourly,€16.4246 hourly,€13.9241 hourly
C4 High Memory 192 lssd,c4-highmem-192-lssd,1488 GiB,192,€8.8891 hourly,€6.3886 hourly,€16.4246 hourly,€13.9241 hourly
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.0923 hourly,€0.0655 hourly,€0.1708 hourly,€0.144 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.1111 hourly,€0.7986 hourly,€2.0531 hourly,€1.7405 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.1111 hourly,€0.7986 hourly,€2.0531 hourly,€1.7405 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€13.3336 hourly,€9.5829 hourly,€24.6369 hourly,€20.8861 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€13.3336 hourly,€9.5829 hourly,€24.6369 hourly,€20.8861 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€13.3336 hourly,€9.5829 hourly,€24.6369 hourly,€20.8861 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€13.3336 hourly,€9.5829 hourly,€24.6369 hourly,€20.8861 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€1.4815 hourly,€1.0648 hourly,€2.7374 hourly,€2.3207 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€1.4815 hourly,€1.0648 hourly,€2.7374 hourly,€2.3207 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.1852 hourly,€0.1331 hourly,€0.3422 hourly,€0.2901 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.1852 hourly,€0.1331 hourly,€0.3422 hourly,€0.2901 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€2.2223 hourly,€1.5972 hourly,€4.1061 hourly,€3.481 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€2.2223 hourly,€1.5972 hourly,€4.1061 hourly,€3.481 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.3704 hourly,€0.2662 hourly,€0.6844 hourly,€0.5802 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.3704 hourly,€0.2662 hourly,€0.6844 hourly,€0.5802 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€4.4445 hourly,€3.1943 hourly,€8.2123 hourly,€6.962 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€4.4445 hourly,€3.1943 hourly,€8.2123 hourly,€6.962 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€6.3572 hourly,€3.6336 hourly,€12.0088 hourly,€9.2852 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€6.3572 hourly,€3.6336 hourly,€12.0088 hourly,€9.2852 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.7064 hourly,€0.4037 hourly,€1.3343 hourly,€1.0317 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.7064 hourly,€0.4037 hourly,€1.3343 hourly,€1.0317 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€8.4762 hourly,€4.8448 hourly,€16.0117 hourly,€12.3803 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€8.4762 hourly,€4.8448 hourly,€16.0117 hourly,€12.3803 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.088 hourly,€0.0495 hourly,€0.1665 hourly,€0.128 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.0595 hourly,€0.6056 hourly,€2.0015 hourly,€1.5475 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.0595 hourly,€0.6056 hourly,€2.0015 hourly,€1.5475 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€12.7143 hourly,€7.2672 hourly,€24.0176 hourly,€18.5704 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€12.7143 hourly,€7.2672 hourly,€24.0176 hourly,€18.5704 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€12.7143 hourly,€7.2672 hourly,€24.0176 hourly,€18.5704 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€12.7143 hourly,€7.2672 hourly,€24.0176 hourly,€18.5704 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.4127 hourly,€0.8075 hourly,€2.6686 hourly,€2.0634 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.4127 hourly,€0.8075 hourly,€2.6686 hourly,€2.0634 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1766 hourly,€0.1009 hourly,€0.3336 hourly,€0.2579 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1766 hourly,€0.1009 hourly,€0.3336 hourly,€0.2579 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.1191 hourly,€1.2112 hourly,€4.0029 hourly,€3.0951 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.1191 hourly,€1.2112 hourly,€4.0029 hourly,€3.0951 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.3532 hourly,€0.2019 hourly,€0.6672 hourly,€0.5158 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.3532 hourly,€0.2019 hourly,€0.6672 hourly,€0.5158 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.2381 hourly,€2.4224 hourly,€8.0059 hourly,€6.1901 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.2381 hourly,€2.4224 hourly,€8.0059 hourly,€6.1901 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.5403 hourly,€0.2161 hourly,€1.1682 hourly,€0.8441 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0675 hourly,€0.027 hourly,€0.146 hourly,€0.1055 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€1.0805 hourly,€0.4322 hourly,€2.3364 hourly,€1.6881 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.1351 hourly,€0.054 hourly,€0.2921 hourly,€0.211 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.2701 hourly,€0.1081 hourly,€0.5841 hourly,€0.422 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.9873 hourly,€0.3949 hourly,€1.6152 hourly,€1.0229 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.1234 hourly,€0.0494 hourly,€0.2019 hourly,€0.1279 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.2468 hourly,€0.0987 hourly,€0.4038 hourly,€0.2557 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.4936 hourly,€0.1975 hourly,€0.8076 hourly,€0.5114 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0755 hourly,€0.0302 hourly,€0.154 hourly,€0.1087 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0635 hourly,€0.0254 hourly,€0.142 hourly,€0.1039 hourly
E2 Small,e2-small,2 GiB,2,€0.0675 hourly,€0.027 hourly,€0.146 hourly,€0.1055 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.7318 hourly,€0.2927 hourly,€1.3598 hourly,€0.9207 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0915 hourly,€0.0366 hourly,€0.17 hourly,€0.1151 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.4637 hourly,€0.5855 hourly,€2.7196 hourly,€1.8414 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.183 hourly,€0.0732 hourly,€0.3399 hourly,€0.2302 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.3659 hourly,€0.1464 hourly,€0.6799 hourly,€0.4603 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.2328 hourly,€0.206 hourly,€0.7037 hourly,€0.6769 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.3103 hourly,€0.2746 hourly,€0.9383 hourly,€0.9026 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.4655 hourly,€0.4119 hourly,€1.4075 hourly,€1.3538 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€0.6207 hourly,€0.5492 hourly,€1.8766 hourly,€1.8051 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.0776 hourly,€0.0687 hourly,€0.2346 hourly,€0.2256 hourly
