Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N2D High Memory 96,n2d-highmem-96,768 GiB,96,,,,
N2D Standard 128,n2d-standard-128,512 GiB,128,,,,
N2D Standard 16,n2d-standard-16,64 GiB,16,,,,
N2D Standard 2,n2d-standard-2,8 GiB,2,,,,
N2D Standard 224,n2d-standard-224,896 GiB,224,,,,
N2D Standard 32,n2d-standard-32,128 GiB,32,,,,
N2D Standard 4,n2d-standard-4,16 GiB,4,,,,
N2D Standard 48,n2d-standard-48,192 GiB,48,,,,
N2D Standard 64,n2d-standard-64,256 GiB,64,,,,
N2D Standard 8,n2d-standard-8,32 GiB,8,,,,
N2D Standard 80,n2d-standard-80,320 GiB,80,,,,
N2D Standard 96,n2d-standard-96,384 GiB,96,,,,
N4 High CPU 16,n4-highcpu-16,32 GiB,16,€0.5486 hourly,€0.2049 hourly,€1.1765 hourly,€0.8328 hourly
N4 High CPU 2,n4-highcpu-2,4 GiB,2,€0.0686 hourly,€0.0256 hourly,€0.1471 hourly,€0.1041 hourly
N4 High CPU 32,n4-highcpu-32,64 GiB,32,€1.0971 hourly,€0.4097 hourly,€2.353 hourly,€1.6656 hourly
N4 High CPU 4,n4-highcpu-4,8 GiB,4,€0.1371 hourly,€0.0512 hourly,€0.2941 hourly,€0.2082 hourly
N4 High CPU 48,n4-highcpu-48,96 GiB,48,€1.6457 hourly,€0.6146 hourly,€3.5295 hourly,€2.4984 hourly
N4 High CPU 64,n4-highcpu-64,128 GiB,64,€2.1942 hourly,€0.8194 hourly,€4.706 hourly,€3.3312 hourly
N4 High CPU 8,n4-highcpu-8,16 GiB,8,€0.2743 hourly,€0.1024 hourly,€0.5883 hourly,€0.4164 hourly
N4 High CPU 80,n4-highcpu-80,160 GiB,80,€2.7428 hourly,€1.0243 hourly,€5.8826 hourly,€4.164 hourly
N4 High Memory 16,n4-highmem-16,128 GiB,16,€0.853 hourly,€0.3187 hourly,€1.481 hourly,€0.9467 hourly
N4 High Memory 2,n4-highmem-2,16 GiB,2,€0.1066 hourly,€0.0398 hourly,€0.1851 hourly,€0.1183 hourly
N4 High Memory 32,n4-highmem-32,256 GiB,32,€1.706 hourly,€0.6374 hourly,€2.9619 hourly,€1.8933 hourly
N4 High Memory 4,n4-highmem-4,32 GiB,4,€0.2133 hourly,€0.0797 hourly,€0.3702 hourly,€0.2367 hourly
N4 High Memory 48,n4-highmem-48,384 GiB,48,€2.559 hourly,€0.9561 hourly,€4.4429 hourly,€2.84 hourly
N4 High Memory 64,n4-highmem-64,512 GiB,64,€3.412 hourly,€1.2748 hourly,€5.9238 hourly,€3.7866 hourly
N4 High Memory 8,n4-highmem-8,64 GiB,8,€0.4265 hourly,€0.1594 hourly,€0.7405 hourly,€0.4733 hourly
N4 High Memory 80,n4-highmem-80,640 GiB,80,€4.265 hourly,€1.5935 hourly,€7.4048 hourly,€4.7333 hourly
N4 Standard 16,n4-standard-16,64 GiB,16,€0.65 hourly,€0.2428 hourly,€1.278 hourly,€0.8708 hourly
