Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 High Memory 2,c4-highmem-2,15 GiB,2,€0.127 hourly,€0.0508 hourly,€0.2055 hourly,€0.1293 hourly
C4 High Memory 24,c4-highmem-24,186 GiB,24,€1.548 hourly,€0.6192 hourly,€2.4899 hourly,€1.5611 hourly
C4 High Memory 24 lssd,c4-highmem-24-lssd,186 GiB,24,€1.548 hourly,€0.6192 hourly,€2.4899 hourly,€1.5611 hourly
C4 High Memory 288,c4-highmem-288,2232 GiB,288,€18.5758 hourly,€7.4299 hourly,€29.879 hourly,€18.7331 hourly
C4 High Memory 288 lssd,c4-highmem-288-lssd,2232 GiB,288,€18.5758 hourly,€7.4299 hourly,€29.879 hourly,€18.7331 hourly
C4 High Memory 288 lssd metal,c4-highmem-288-lssd-metal,2232 GiB,288,€18.5758 hourly,€7.4299 hourly,€29.879 hourly,€18.7331 hourly
C4 High Memory 288 metal,c4-highmem-288-metal,2232 GiB,288,€18.5758 hourly,€7.4299 hourly,€29.879 hourly,€18.7331 hourly
C4 High Memory 32,c4-highmem-32,248 GiB,32,€2.064 hourly,€0.8255 hourly,€3.3199 hourly,€2.0815 hourly
C4 High Memory 32 lssd,c4-highmem-32-lssd,248 GiB,32,€2.064 hourly,€0.8255 hourly,€3.3199 hourly,€2.0815 hourly
C4 High Memory 4,c4-highmem-4,31 GiB,4,€0.258 hourly,€0.1032 hourly,€0.415 hourly,€0.2602 hourly
C4 High Memory 4 lssd,c4-highmem-4-lssd,31 GiB,4,€0.258 hourly,€0.1032 hourly,€0.415 hourly,€0.2602 hourly
C4 High Memory 48,c4-highmem-48,372 GiB,48,€3.096 hourly,€1.2383 hourly,€4.9798 hourly,€3.1222 hourly
C4 High Memory 48 lssd,c4-highmem-48-lssd,372 GiB,48,€3.096 hourly,€1.2383 hourly,€4.9798 hourly,€3.1222 hourly
C4 High Memory 8,c4-highmem-8,62 GiB,8,€0.516 hourly,€0.2064 hourly,€0.83 hourly,€0.5204 hourly
C4 High Memory 8 lssd,c4-highmem-8-lssd,62 GiB,8,€0.516 hourly,€0.2064 hourly,€0.83 hourly,€0.5204 hourly
C4 High Memory 96,c4-highmem-96,744 GiB,96,€6.1919 hourly,€2.4766 hourly,€9.9597 hourly,€6.2444 hourly
C4 High Memory 96 lssd,c4-highmem-96-lssd,744 GiB,96,€6.1919 hourly,€2.4766 hourly,€9.9597 hourly,€6.2444 hourly
C4 Standard 144,c4-standard-144,540 GiB,144,€7.0429 hourly,€2.8171 hourly,€12.6945 hourly,€8.4687 hourly
C4 Standard 144 lssd,c4-standard-144-lssd,540 GiB,144,€7.0429 hourly,€2.8171 hourly,€12.6945 hourly,€8.4687 hourly
C4 Standard 16,c4-standard-16,60 GiB,16,€0.7825 hourly,€0.313 hourly,€1.4105 hourly,€0.941 hourly
C4 Standard 16 lssd,c4-standard-16-lssd,60 GiB,16,€0.7825 hourly,€0.313 hourly,€1.4105 hourly,€0.941 hourly
C4 Standard 192,c4-standard-192,720 GiB,192,€9.3906 hourly,€3.7561 hourly,€16.926 hourly,€11.2916 hourly
C4 Standard 192 lssd,c4-standard-192-lssd,720 GiB,192,€9.3906 hourly,€3.7561 hourly,€16.926 hourly,€11.2916 hourly
C4 Standard 2,c4-standard-2,7 GiB,2,€0.0959 hourly,€0.0383 hourly,€0.1744 hourly,€0.1168 hourly
C4 Standard 24,c4-standard-24,90 GiB,24,€1.1738 hourly,€0.4695 hourly,€2.1158 hourly,€1.4114 hourly
C4 Standard 24 lssd,c4-standard-24-lssd,90 GiB,24,€1.1738 hourly,€0.4695 hourly,€2.1158 hourly,€1.4114 hourly
C4 Standard 288,c4-standard-288,1080 GiB,288,€14.0858 hourly,€5.6341 hourly,€25.3891 hourly,€16.9373 hourly
C4 Standard 288 lssd,c4-standard-288-lssd,1080 GiB,288,€14.0858 hourly,€5.6341 hourly,€25.3891 hourly,€16.9373 hourly
C4 Standard 288 lssd metal,c4-standard-288-lssd-metal,1080 GiB,288,€14.0858 hourly,€5.6341 hourly,€25.3891 hourly,€16.9373 hourly
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€14.0858 hourly,€5.6341 hourly,€25.3891 hourly,€16.9373 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.5651 hourly,€0.626 hourly,€2.821 hourly,€1.8819 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.5651 hourly,€0.626 hourly,€2.821 hourly,€1.8819 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1956 hourly,€0.0783 hourly,€0.3526 hourly,€0.2352 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1956 hourly,€0.0783 hourly,€0.3526 hourly,€0.2352 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€2.3476 hourly,€0.939 hourly,€4.2315 hourly,€2.8229 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€2.3476 hourly,€0.939 hourly,€4.2315 hourly,€2.8229 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.3913 hourly,€0.1565 hourly,€0.7053 hourly,€0.4705 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.3913 hourly,€0.1565 hourly,€0.7053 hourly,€0.4705 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€4.6953 hourly,€1.878 hourly,€8.463 hourly,€5.6458 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€4.6953 hourly,€1.878 hourly,€8.463 hourly,€5.6458 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.3917 hourly,€0.1566 hourly,€1.0197 hourly,€0.7845 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.049 hourly,€0.0196 hourly,€0.1275 hourly,€0.0981 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.7834 hourly,€0.3132 hourly,€2.0393 hourly,€1.5691 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.0979 hourly,€0.0391 hourly,€0.2549 hourly,€0.1961 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.1958 hourly,€0.0783 hourly,€0.5098 hourly,€0.3923 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.7157 hourly,€0.2857 hourly,€1.3437 hourly,€0.9136 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0895 hourly,€0.0357 hourly,€0.168 hourly,€0.1142 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1789 hourly,€0.0714 hourly,€0.3359 hourly,€0.2284 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3579 hourly,€0.1428 hourly,€0.6718 hourly,€0.4568 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0547 hourly,€0.0219 hourly,€0.1332 hourly,€0.1004 hourly
E2 Micro,e2-micro,1 GiB,2,€0.0461 hourly,€0.0184 hourly,€0.1246 hourly,€0.0969 hourly
E2 Small,e2-small,2 GiB,2,€0.049 hourly,€0.0196 hourly,€0.1275 hourly,€0.0981 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5306 hourly,€0.2119 hourly,€1.1585 hourly,€0.8399 hourly
