Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
N1 High Memory 64,n1-highmem-64,416 GiB,64,€3.8792 hourly,€1.1868 hourly,€6.3911 hourly,€3.6986 hourly
N1 High Memory 8,n1-highmem-8,52 GiB,8,€0.4849 hourly,€0.1483 hourly,€0.7989 hourly,€0.4623 hourly
N1 High Memory 96,n1-highmem-96,624 GiB,96,€5.8189 hourly,€1.7802 hourly,€9.5866 hourly,€5.5479 hourly
N1 Mega Memory 96,n1-megamem-96,1433.599609375 GiB,96,€9.3334 hourly,€2.855 hourly,€13.1011 hourly,€6.6227 hourly
N1 Standard 1,n1-standard-1,3.75 GiB,1,€0.0487 hourly,€0.0149 hourly,€0.0879 hourly,€0.0541 hourly
N1 Standard 16,n1-standard-16,60 GiB,16,€0.7788 hourly,€0.2383 hourly,€1.4068 hourly,€0.8662 hourly
N1 Standard 2,n1-standard-2,7.5 GiB,2,€0.0974 hourly,€0.0298 hourly,€0.1758 hourly,€0.1083 hourly
N1 Standard 32,n1-standard-32,120 GiB,32,€1.5576 hourly,€0.4766 hourly,€2.8135 hourly,€1.7325 hourly
N1 Standard 4,n1-standard-4,15 GiB,4,€0.1947 hourly,€0.0596 hourly,€0.3517 hourly,€0.2166 hourly
N1 Standard 64,n1-standard-64,240 GiB,64,€3.1152 hourly,€0.9531 hourly,€5.627 hourly,€3.465 hourly
N1 Standard 8,n1-standard-8,30 GiB,8,€0.3894 hourly,€0.1191 hourly,€0.7034 hourly,€0.4331 hourly
N1 Standard 96,n1-standard-96,360 GiB,96,€4.6728 hourly,€1.4297 hourly,€8.4406 hourly,€5.1974 hourly
N1 Ultra Memory 160,n1-ultramem-160,3844 GiB,160,€21.8705 hourly,€6.6895 hourly,€28.1501 hourly,€12.9691 hourly
N1 Ultra Memory 40,n1-ultramem-40,961 GiB,40,€5.4676 hourly,€1.6724 hourly,€7.0375 hourly,€3.2423 hourly
N1 Ultra Memory 80,n1-ultramem-80,1922 GiB,80,€10.9353 hourly,€3.3447 hourly,€14.075 hourly,€6.4845 hourly
N2 High CPU 16,n2-highcpu-16,16 GiB,16,€0.1365 hourly,€0.0529 hourly,€0.7645 hourly,€0.6809 hourly
N2 High CPU 2,n2-highcpu-2,2 GiB,2,€0.0171 hourly,€0.0066 hourly,€0.0956 hourly,€0.0851 hourly
N2 High CPU 32,n2-highcpu-32,32 GiB,32,€0.2731 hourly,€0.1059 hourly,€1.529 hourly,€1.3618 hourly
N2 High CPU 4,n2-highcpu-4,4 GiB,4,€0.0341 hourly,€0.0132 hourly,€0.1911 hourly,€0.1702 hourly
N2 High CPU 48,n2-highcpu-48,48 GiB,48,€0.4096 hourly,€0.1588 hourly,€2.2935 hourly,€2.0427 hourly
