Instance Name,API Name,Instance Memory,vCPUs,Linux On Demand cost,Linux Spot cost,Windows On Demand cost,Windows Spot cost
C4 Standard 288 metal,c4-standard-288-metal,1080 GiB,288,€10.2041 hourly,€5.2944 hourly,€21.5073 hourly,€16.5976 hourly
C4 Standard 32,c4-standard-32,120 GiB,32,€1.1338 hourly,€0.5883 hourly,€2.3897 hourly,€1.8442 hourly
C4 Standard 32 lssd,c4-standard-32-lssd,120 GiB,32,€1.1338 hourly,€0.5883 hourly,€2.3897 hourly,€1.8442 hourly
C4 Standard 4,c4-standard-4,15 GiB,4,€0.1417 hourly,€0.0735 hourly,€0.2987 hourly,€0.2305 hourly
C4 Standard 4 lssd,c4-standard-4-lssd,15 GiB,4,€0.1417 hourly,€0.0735 hourly,€0.2987 hourly,€0.2305 hourly
C4 Standard 48,c4-standard-48,180 GiB,48,€1.7007 hourly,€0.8824 hourly,€3.5845 hourly,€2.7663 hourly
C4 Standard 48 lssd,c4-standard-48-lssd,180 GiB,48,€1.7007 hourly,€0.8824 hourly,€3.5845 hourly,€2.7663 hourly
C4 Standard 8,c4-standard-8,30 GiB,8,€0.2834 hourly,€0.1471 hourly,€0.5974 hourly,€0.461 hourly
C4 Standard 8 lssd,c4-standard-8-lssd,30 GiB,8,€0.2834 hourly,€0.1471 hourly,€0.5974 hourly,€0.461 hourly
C4 Standard 96,c4-standard-96,360 GiB,96,€3.4014 hourly,€1.7648 hourly,€7.1691 hourly,€5.5325 hourly
C4 Standard 96 lssd,c4-standard-96-lssd,360 GiB,96,€3.4014 hourly,€1.7648 hourly,€7.1691 hourly,€5.5325 hourly
E2 High CPU 16,e2-highcpu-16,16 GiB,16,€0.4336 hourly,€0.1735 hourly,€1.0616 hourly,€0.8014 hourly
E2 High CPU 2,e2-highcpu-2,2 GiB,2,€0.0542 hourly,€0.0217 hourly,€0.1327 hourly,€0.1002 hourly
E2 High CPU 32,e2-highcpu-32,32 GiB,32,€0.8673 hourly,€0.3469 hourly,€2.1232 hourly,€1.6028 hourly
E2 High CPU 4,e2-highcpu-4,4 GiB,4,€0.1084 hourly,€0.0434 hourly,€0.2654 hourly,€0.2004 hourly
E2 High CPU 8,e2-highcpu-8,8 GiB,8,€0.2168 hourly,€0.0867 hourly,€0.5308 hourly,€0.4007 hourly
E2 High Memory 16,e2-highmem-16,128 GiB,16,€0.7909 hourly,€0.3164 hourly,€1.4189 hourly,€0.9444 hourly
E2 High Memory 2,e2-highmem-2,16 GiB,2,€0.0989 hourly,€0.0396 hourly,€0.1774 hourly,€0.118 hourly
E2 High Memory 4,e2-highmem-4,32 GiB,4,€0.1977 hourly,€0.0791 hourly,€0.3547 hourly,€0.2361 hourly
E2 High Memory 8,e2-highmem-8,64 GiB,8,€0.3955 hourly,€0.1582 hourly,€0.7094 hourly,€0.4722 hourly
E2 Medium,e2-medium,4 GiB,2,€0.0606 hourly,€0.0242 hourly,€0.1391 hourly,€0.1027 hourly
E2 Micro,e2-micro,1 GiB,2,€0.051 hourly,€0.0204 hourly,€0.1295 hourly,€0.0989 hourly
E2 Small,e2-small,2 GiB,2,€0.0542 hourly,€0.0217 hourly,€0.1327 hourly,€0.1002 hourly
E2 Standard 16,e2-standard-16,64 GiB,16,€0.5868 hourly,€0.2347 hourly,€1.2147 hourly,€0.8627 hourly
E2 Standard 2,e2-standard-2,8 GiB,2,€0.0733 hourly,€0.0293 hourly,€0.1518 hourly,€0.1078 hourly
E2 Standard 32,e2-standard-32,128 GiB,32,€1.1735 hourly,€0.4694 hourly,€2.4294 hourly,€1.7254 hourly
E2 Standard 4,e2-standard-4,16 GiB,4,€0.1467 hourly,€0.0587 hourly,€0.3037 hourly,€0.2157 hourly
E2 Standard 8,e2-standard-8,32 GiB,8,€0.2934 hourly,€0.1174 hourly,€0.6074 hourly,€0.4313 hourly
G2 Standard 12,g2-standard-12,48 GiB,12,€0.4825 hourly,€0.1931 hourly,€0.9535 hourly,€0.664 hourly
G2 Standard 16,g2-standard-16,64 GiB,16,€0.6433 hourly,€0.2574 hourly,€1.2713 hourly,€0.8854 hourly
G2 Standard 24,g2-standard-24,96 GiB,24,€0.965 hourly,€0.3861 hourly,€1.907 hourly,€1.328 hourly
G2 Standard 32,g2-standard-32,128 GiB,32,€1.2867 hourly,€0.5148 hourly,€2.5426 hourly,€1.7707 hourly
G2 Standard 4,g2-standard-4,16 GiB,4,€0.1608 hourly,€0.0644 hourly,€0.3178 hourly,€0.2213 hourly
G2 Standard 48,g2-standard-48,192 GiB,48,€1.93 hourly,€0.7722 hourly,€3.8139 hourly,€2.6561 hourly
G2 Standard 8,g2-standard-8,32 GiB,8,€0.3217 hourly,€0.1287 hourly,€0.6357 hourly,€0.4427 hourly
G2 Standard 96,g2-standard-96,384 GiB,96,€3.8601 hourly,€1.5444 hourly,€7.6278 hourly,€5.3122 hourly
H3 Standard 88,h3-standard-88,352 GiB,88,€0.5395 hourly,€2.2658 hourly,€3.9932 hourly,€5.7195 hourly
M3 Mega Memory 128,m3-megamem-128,1952 GiB,128,€1.5788 hourly,€2.1616 hourly,€6.6025 hourly,€7.1852 hourly
M3 Mega Memory 64,m3-megamem-64,976 GiB,64,€0.7894 hourly,€1.0808 hourly,€3.3012 hourly,€3.5926 hourly
M3 Ultra Memory 128,m3-ultramem-128,3904 GiB,128,€2.6696 hourly,€3.5806 hourly,€7.6933 hourly,€8.6042 hourly
M3 Ultra Memory 32,m3-ultramem-32,976 GiB,32,€0.6674 hourly,€0.8951 hourly,€1.9233 hourly,€2.1511 hourly
M3 Ultra Memory 64,m3-ultramem-64,1952 GiB,64,€1.3348 hourly,€1.7903 hourly,€3.8466 hourly,€4.3021 hourly
M4 Hypermem 16,m4-hypermem-16,248 GiB,16,€0.5369 hourly,€0.715 hourly,€1.1648 hourly,€1.343 hourly
M4 Hypermem 32,m4-hypermem-32,496 GiB,32,€1.0737 hourly,€1.4301 hourly,€2.3296 hourly,€2.686 hourly
