model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server,usage.instance_per_server,usage.max_power,usage.max_power,usage.workload.idle.power,usage.workload.idle.time,usage.workload.10.power,usage.workload.10.time,usage.workload.50.power,usage.workload.50.time,usage.workload.100.power,usage.workload.100.time
AWS,c6gd.2xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.125,8.00,32.4,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.4xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.25,4.00,64.9,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.8xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.5,2.00,129.8,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.12xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,0.75,1.33,194.7,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.16xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,1,1.00,259.6,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gd.metal,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,2,SSD,1900,,2,,1,1.00,259.6,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.medium,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.015625,64.00,4.1,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.large,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.03125,32.00,8.1,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.0625,16.00,16.2,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.2xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.125,8.00,32.4,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.4xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.25,4.00,64.9,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.8xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.5,2.00,129.8,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.12xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,0.75,1.33,194.7,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,c6gn.16xlarge,rack,2019,1,64,Annapurna Labs,Graviton2,2019,7,,8,16,,,,,,,,2,,1,1.00,259.6,259.58,0.28,0.00,0.45,0.00,0.75,1,1,0.00
AWS,m5.large,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,0.02083333333,48.00,20.0,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.xlarge,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,0.04166666667,24.00,39.9,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.2xlarge,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,0.08333333333,12.00,79.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.4xlarge,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,0.1666666667,6.00,159.6,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.8xlarge,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,,,,,2,,0.3333333333,3.00,319.3,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.12xlarge,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,0.5,2.00,478.9,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.16xlarge,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,,,,,2,,0.6666666667,1.50,638.5,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.24xlarge,rack,2017,2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,,,,,2,,1,1.00,957.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5.metal,rack,2019,2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,,,,,2,,1,1.00,957.8,957.79,0.22,0.00,0.35,0.00,0.71,1,1,0.00
AWS,m5a.large,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,0.02083333333,48.00,15.0,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.xlarge,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,0.04166666667,24.00,29.9,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.2xlarge,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,0.08333333333,12.00,59.8,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.4xlarge,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,0.1666666667,6.00,119.6,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.8xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,,,,,2,,0.3333333333,3.00,239.3,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.12xlarge,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,0.5,2.00,358.9,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.16xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,,,,,2,,0.6666666667,1.50,478.5,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5a.24xlarge,rack,2018,2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,,,,,2,,1,1.00,717.8,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.large,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.02083333333,48.00,15.0,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.04166666667,24.00,29.9,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.2xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.08333333333,12.00,59.8,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.4xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.1666666667,6.00,119.6,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.8xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.3333333333,3.00,239.3,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.12xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.5,2.00,358.9,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.16xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,0.6666666667,1.50,478.5,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
AWS,m5ad.24xlarge,rack,2019,2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,4,SSD,900,,2,,1,1.00,717.8,717.82,0.28,0.00,0.45,0.00,0.74,1,1,0.00
