model.manufacturer,model.name,model.type,model.year,configuration.cpu.units,configuration.cpu.tdp,configuration.cpu.model_range,configuration.cpu.core_units,configuration.cpu.manufacturer,configuration.cpu.family,configuration.cpu.manufacture_date,configuration.cpu.process,configuration.cpu.die_size_per_core,configuration.ram.units,configuration.ram.capacity,configuration.ram.manufacturer,configuration.ram.process,configuration.ram.density,configuration.disk.units,configuration.disk.type,configuration.disk.capacity,configuration.disk.density,configuration.power_supply.units,configuration.power_supply.unit_weight,usage.instance_per_server
AWS,m5.4xlarge,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,6
AWS,m5.8xlarge,rack,2019,2,150,Graviton2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,3
AWS,m5.12xlarge,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,2
AWS,m5.16xlarge,rack,2019,2,150,Graviton2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,"1,5"
AWS,m5.24xlarge,rack,2017,2,150,Graviton2,24,Intel,Skylake,2017,14,,12,32,Samsung,20,,0,EBS,0,,2,,1
AWS,m5.metal,rack,2019,2,150,Graviton2,24,Intel,Skylake,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,1
AWS,m5a.large,rack,2018,2,150,Graviton2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,48
AWS,m5a.xlarge,rack,2018,2,150,Graviton2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,24
AWS,m5a.2xlarge,rack,2018,2,150,Graviton2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,12
AWS,m5a.4xlarge,rack,2018,2,150,Graviton2,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,6
AWS,m5a.8xlarge,rack,2019,2,150,Graviton2,24,AMD,Naples,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,3
AWS,m5a.12xlarge,rack,2018,2,120,Xeon E5-2676 v3,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,2
AWS,m5a.16xlarge,rack,2019,2,120,Xeon E5-2676 v3,24,AMD,Naples,2019,14,,12,32,Samsung,20,,0,EBS,0,,2,,"1,5"
AWS,m5a.24xlarge,rack,2018,2,120,Xeon E5-2676 v3,24,AMD,Naples,2018,14,,12,32,Samsung,20,,0,EBS,0,,2,,1
