,id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_impact_total,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
260,i3.2xlarge,8,61.0,1900,0,0,i3.metal,,0.007,28.151666666666664,0.00276,0.0069,0.0104,55.10574222222222,0.0054,0.0136,0.0204,66.79200888888889,0.0065,0.0164,0.0247
261,i3.2xlarge.elasticsearch,8,61.0,1900,0,0,i3.metal,,0.007,28.151666666666664,0.00276,0.0069,0.0104,55.10574222222222,0.0054,0.0136,0.0204,66.79200888888889,0.0065,0.0164,0.0247
262,i3.4xlarge,16,122.0,3800,0,0,i3.metal,,0.014,56.30333333333333,0.0055,0.0139,0.0208,110.21148444444444,0.0108,0.0271,0.041,133.58401777777777,0.0131,0.0329,0.049
263,i3.4xlarge.elasticsearch,16,122.0,3800,0,0,i3.metal,,0.014,56.30333333333333,0.0055,0.0139,0.0208,110.21148444444444,0.0108,0.0271,0.041,133.58401777777777,0.0131,0.0329,0.049
264,i3.8xlarge,32,244.0,7600,0,0,i3.metal,,0.028,112.60666666666665,0.011,0.0277,0.042,220.42296888888887,0.0216,0.054,0.082,267.16803555555555,0.0262,0.066,0.099
265,i3.8xlarge.elasticsearch,32,244.0,7600,0,0,i3.metal,,0.028,112.60666666666665,0.011,0.0277,0.042,220.42296888888887,0.0216,0.054,0.082,267.16803555555555,0.0262,0.066,0.099
266,i3.16xlarge,64,488.0,15200,0,0,i3.metal,,0.056,225.2133333333333,0.0221,0.055,0.083,440.84593777777775,0.043,0.108,0.163,534.3360711111111,0.052,0.131,0.198
267,i3.16xlarge.elasticsearch,64,488.0,15200,0,0,i3.metal,,0.056,225.2133333333333,0.0221,0.055,0.083,440.84593777777775,0.043,0.108,0.163,534.3360711111111,0.052,0.131,0.198
268,i3.metal,72,512.0,15200,0,0,i3.metal,,0.058,239.38936,0.0235,0.059,0.089,481.97604,0.047,0.119,0.178,587.15244,0.058,0.144,0.217
269,i3en.large,2,16.0,1250,0,0,i3en.metal,,0.0026,7.6296004166666656,0.00075,0.00188,0.00282,15.994136666666666,0.00157,0.0039,0.0059,19.6211575,0.00192,0.0048,0.0073
270,i3en.xlarge,4,32.0,2500,0,0,i3en.metal,,0.005,15.259200833333331,0.0015,0.0038,0.0056,31.988273333333332,0.00313,0.0079,0.0118,39.242315,0.0038,0.0097,0.0145
271,i3en.2xlarge,8,64.0,5000,0,0,i3en.metal,,0.01,30.518401666666662,0.00299,0.0075,0.0113,63.976546666666664,0.0063,0.0157,0.0237,78.48463,0.0077,0.0193,0.029
272,i3en.3xlarge,12,96.0,7500,0,0,i3en.metal,,0.016,45.7776025,0.0045,0.0113,0.0169,95.96482,0.0094,0.0236,0.036,117.726945,0.0115,0.029,0.044
273,i3en.6xlarge,24,192.0,15000,0,0,i3en.metal,,0.031,91.555205,0.009,0.0225,0.034,191.92964,0.0188,0.047,0.071,235.45389,0.0231,0.058,0.087
