"Name","API Name","Instance Memory","vCPUs","Memory per vCPU","GPUs","Storage","Linux On Demand cost","Linux Savings Plan","Linux Reserved cost","Linux Spot cost","Windows On Demand cost","Windows Savings Plan","Windows Reserved cost","Windows Spot cost"
"D16nls v6","D16nls v6","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.907 hourly","","","$0.1973 hourly","$1.643 hourly","","","$0.3574 hourly"
"D16ns v6","D16ns v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$1.114 hourly","","","$0.2423 hourly","$1.85 hourly","","","$0.4024 hourly"
"Standard D16pds v5","D16pds v5","64 GiB","16","4 GiB/vCPU","0","600 GiB","$0.723 hourly","","","$0.1528 hourly","","","",""
"Standard D16pds v6","D16pds v6","64 GiB","16","4 GiB/vCPU","0","880 GiB","$0.734 hourly","","","$0.2085 hourly","","","",""
"Standard D16plds v5","D16plds v5","32 GiB","16","2 GiB/vCPU","0","600 GiB","$0.614 hourly","","","$0.1298 hourly","","","",""
"Standard D16plds v6","D16plds v6","32 GiB","16","2 GiB/vCPU","0","880 GiB","$0.624 hourly","","","$0.1772 hourly","","","",""
"Standard D16pls v5","D16pls v5","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.544 hourly","","","$0.115 hourly","","","",""
"Standard D16pls v6","D16pls v6","32 GiB","16","2 GiB/vCPU","0","0 GiB","$0.496 hourly","","","$0.1409 hourly","","","",""
"Standard D16ps v5","D16ps v5","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.616 hourly","","","$0.1302 hourly","","","",""
"Standard D16ps v6","D16ps v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.562 hourly","","","$0.1596 hourly","","","",""
"D16s v3","D16s v3","64 GiB","16","4 GiB/vCPU","0","128 GiB","$0.768 hourly","","","$0.1505 hourly","$1.504 hourly","","","$0.2948 hourly"
"D16s v4","D16s v4","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.768 hourly","","","$0.162 hourly","$1.504 hourly","","","$0.3172 hourly"
"D16s v5","D16s v5","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.768 hourly","","","$0.1621 hourly","$1.504 hourly","","","$0.3175 hourly"
"D16s v6","D16s v6","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.806 hourly","","","$0.1753 hourly","$1.542 hourly","","","$0.3354 hourly"
"D16s v7","D16s v7","64 GiB","16","4 GiB/vCPU","0","0 GiB","$1.058 hourly","","","$0.1955 hourly","$1.794 hourly","","","$0.3315 hourly"
"D16 v3","D16 v3","64 GiB","16","4 GiB/vCPU","0","400 GiB","$0.768 hourly","","","$0.1505 hourly","$1.504 hourly","","","$0.2948 hourly"
"D16 v4","D16 v4","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.768 hourly","","","$0.162 hourly","$1.504 hourly","","","$0.3172 hourly"
"D16 v5","D16 v5","64 GiB","16","4 GiB/vCPU","0","0 GiB","$0.768 hourly","","","$0.1621 hourly","$1.504 hourly","","","$0.3175 hourly"
"D192ds v6","D192ds v6","768 GiB","192","4 GiB/vCPU","0","10560 GiB","$11.96 hourly","","","$2.6324 hourly","","","","$4.5763 hourly"
"D192ds v7","D192ds v7","768 GiB","192","4 GiB/vCPU","0","10560 GiB","$15.663 hourly","","","$2.8945 hourly","$24.495 hourly","","","$4.5267 hourly"
"D192lds v7","D192lds v7","384 GiB","192","2 GiB/vCPU","0","10560 GiB","$13.306 hourly","","","$2.4589 hourly","$22.138 hourly","","","$4.0911 hourly"
"D192ls v7","D192ls v7","384 GiB","192","2 GiB/vCPU","0","0 GiB","$11.245 hourly","","","$2.0781 hourly","$20.077 hourly","","","$3.7102 hourly"
"D192s v6","D192s v6","768 GiB","192","4 GiB/vCPU","0","0 GiB","$9.677 hourly","","","$2.1047 hourly","$18.509 hourly","","","$4.0257 hourly"
"D192s v7","D192s v7","768 GiB","192","4 GiB/vCPU","0","0 GiB","$12.701 hourly","","","$2.3471 hourly","$21.533 hourly","","","$3.9793 hourly"
"D1s","D1s","3.5 GiB","1","3.5 GiB/vCPU","0","7 GiB","$0.077 hourly","","","$0.0151 hourly","$0.14 hourly","","","$0.0274 hourly"
"D1 v2","D1 v2","3.5 GiB","1","3.5 GiB/vCPU","0","50 GiB","$0.073 hourly","","","$0.0143 hourly","$0.119 hourly","","","$0.0233 hourly"
"D2","D2","7 GiB","2","3.5 GiB/vCPU","0","100 GiB","$0.154 hourly","","","$0.0302 hourly","$0.28 hourly","","","$0.0549 hourly"
"D248ds v7","D248ds v7","992 GiB","248","4 GiB/vCPU","0","13640 GiB","$20.232 hourly","","","$4.0464 hourly","$31.64 hourly","","","$6.328 hourly"
"D248lds v7","D248lds v7","496 GiB","248","2 GiB/vCPU","0","13640 GiB","$17.186 hourly","","","$3.4372 hourly","$28.594 hourly","","","$5.7188 hourly"
"D248ls v7","D248ls v7","496 GiB","248","2 GiB/vCPU","0","0 GiB","$14.525 hourly","","","$2.6842 hourly","$25.933 hourly","","","$4.7924 hourly"
"D248s v7","D248s v7","992 GiB","248","4 GiB/vCPU","0","0 GiB","$16.405 hourly","","","$3.0316 hourly","$27.813 hourly","","","$5.1398 hourly"
"D2ads v5","D2ads v5","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.103 hourly","","","$0.0235 hourly","$0.195 hourly","","","$0.0445 hourly"
"D2ads v6","D2ads v6","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.114 hourly","","","$0.0246 hourly","$0.206 hourly","","","$0.0445 hourly"
"D2ads v7","D2ads v7","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.114 hourly","","","$0.0214 hourly","$0.206 hourly","","","$0.0387 hourly"
"D2alds v6","D2alds v6","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.0952 hourly","","","$0.0206 hourly","$0.187 hourly","","","$0.0404 hourly"
"D2alds v7","D2alds v7","4 GiB","2","2 GiB/vCPU","0","110 GiB","$0.0952 hourly","","","$0.0179 hourly","$0.187 hourly","","","$0.0352 hourly"
"D2als v6","D2als v6","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0804 hourly","","","$0.0169 hourly","$0.172 hourly","","","$0.0361 hourly"
"D2als v7","D2als v7","4 GiB","2","2 GiB/vCPU","0","0 GiB","$0.0804 hourly","","","$0.0151 hourly","$0.172 hourly","","","$0.0323 hourly"
"D2as v4","D2as v4","8 GiB","2","4 GiB/vCPU","0","16 GiB","$0.096 hourly","","","$0.021 hourly","$0.188 hourly","","","$0.041 hourly"
"D2as v5","D2as v5","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.086 hourly","","","$0.0196 hourly","$0.178 hourly","","","$0.0407 hourly"
"D2as v6","D2as v6","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0908 hourly","","","$0.019 hourly","$0.183 hourly","","","$0.0384 hourly"
"D2as v7","D2as v7","8 GiB","2","4 GiB/vCPU","0","0 GiB","$0.0908 hourly","","","$0.017 hourly","$0.183 hourly","","","$0.0344 hourly"
"D2a v4","D2a v4","8 GiB","2","4 GiB/vCPU","0","50 GiB","$0.096 hourly","","","$0.021 hourly","$0.188 hourly","","","$0.041 hourly"
"D2ds v4","D2ds v4","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.113 hourly","","","$0.0244 hourly","$0.205 hourly","","","$0.0443 hourly"
"D2ds v5","D2ds v5","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.113 hourly","","","$0.025 hourly","$0.205 hourly","","","$0.0454 hourly"
"D2ds v6","D2ds v6","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.125 hourly","","","$0.0275 hourly","$0.217 hourly","","","$0.0478 hourly"
"D2ds v7","D2ds v7","8 GiB","2","4 GiB/vCPU","0","110 GiB","$0.163 hourly","","","$0.0301 hourly","$0.255 hourly","","","$0.0471 hourly"
"D2d v4","D2d v4","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.113 hourly","","","$0.0244 hourly","$0.205 hourly","","","$0.0443 hourly"
"D2d v5","D2d v5","8 GiB","2","4 GiB/vCPU","0","75 GiB","$0.113 hourly","","","$0.025 hourly","$0.205 hourly","","","$0.0454 hourly"
"D2lds v5","D2lds v5","4 GiB","2","2 GiB/vCPU","0","75 GiB","$0.096 hourly","","","$0.0213 hourly","$0.188 hourly","","","$0.0416 hourly"
