instance,host,nbinstancesmax,nvme_units,nvme_capacity,ssd_embeded_capacity
d4s_v5,dsv5-type1,25,,,
d8s_v5,dsv5-type1,12,,,
d16s_v5,dsv5-type1,6,,,
d32s_v5,dsv5-type1,3,,,
d48s_v5,dsv5-type1,2,,,
d64s_v5,dsv5-type1,1,,,
d96s_v5,dsv5-type1,1,,,
d2s_v4,dsv4-type1,32,,,
d4s_v4,dsv4-type1,20,,,
d8s_v4,dsv4-type1,10,,,
d16s_v4,dsv4-type1,5,,,
d32s_v4,dsv4-type1,2,,,
d48s_v4,dsv4-type1,1,,,
d64s_v4,dsv4-type1,1,,,
d2s_v4,dsv4-type2,32,,,
d4s_v4,dsv4-type2,25,,,
d8s_v4,dsv4-type2,12,,,
d16s_v4,dsv4-type2,6,,,
d32s_v4,dsv4-type2,3,,,
d48s_v4,dsv4-type2,2,,,
d64s_v4,dsv4-type2,1,,,
d2s_v3,dsv3-type1,32,,,
d4s_v3,dsv3-type1,17,,,
d8s_v3,dsv3-type1,8,,,
d16s_v3,dsv3-type1,4,,,
d32s_v3,dsv3-type1,2,,,
d48s_v3,dsv3-type1,1,,,
d64s_v3,dsv3-type1,1,,,
d2s_v3,dsv3-type2,32,,,
d4s_v3,dsv3-type2,20,,,
d8s_v3,dsv3-type2,10,,,
d16s_v3,dsv3-type2,5,,,
d32s_v3,dsv3-type2,2,,,
d48s_v3,dsv3-type2,1,,,
d64s_v3,dsv3-type2,1,,,
d2s_v3,dsv3-type3,32,,,
d4s_v3,dsv3-type3,21,,,
d8s_v3,dsv3-type3,10,,,
d16s_v3,dsv3-type3,5,,,
d32s_v3,dsv3-type3,2,,,
d48s_v3,dsv3-type3,1,,,
d64s_v3,dsv3-type3,1,,,
d2s_v3,dsv3-type4,32,,,
d4s_v3,dsv3-type4,24,,,
d8s_v3,dsv3-type4,12,,,
d16s_v3,dsv3-type4,6,,,
d32s_v3,dsv3-type4,3,,,
d48s_v3,dsv3-type4,2,,,
d64s_v3,dsv3-type4,1,,,
