instance_name,instance_family,instance_cpu,vcpus,numa_nodes,memory_gb,avg_score,stddev,stddev_percentage,runs
standard_e8as_v5,eav4,amd epyc 7452 32-core processor,8,1,64,148810,2630,1.77%,210
standard_e8a_v4,eav4,amd epyc 7452 32-core processor,8,1,64,151511,1940,1.28%,189
standard_e8a_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,132164,2102,1.59%,154
standard_e8ds_v4,edsv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,135576,723,0.53%,189
standard_e8ds_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,136905,460,0.34%,35
standard_e8ds_v5,edv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,132382,2020,1.53%,322
standard_e8d_v4,edv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,135986,1194,0.88%,189
standard_e8d_v4,edv5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,136974,509,0.37%,49
standard_e8d_v5,esv3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,101750,7494,7.36%,126
standard_e8s_v3,esv3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,101526,1976,1.95%,77
standard_e8s_v3,esv3,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,120073,826,0.69%,35
standard_e8s_v3,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,117898,7464,6.33%,406
standard_e8s_v4,esv4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,136061,1199,0.88%,182
standard_e8s_v4,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,120429,6932,5.76%,49
standard_e8s_v5,ev3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,100794,5678,5.63%,154
standard_e8_v3,ev3,intel xeon cpu e5-2673 v4 @ 2.30ghz,8,1,64,90915,7711,8.48%,224
standard_e8_v3,ev3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,100458,1381,1.38%,84
standard_e8_v3,ev3,intel xeon platinum 8171m cpu @ 2.60ghz,8,1,64,89968,5738,6.38%,84
standard_e8_v3,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,119562,8628,7.22%,406
standard_e8_v4,ev4,intel xeon platinum 8272cl cpu @ 2.60ghz,8,1,64,135668,847,0.62%,182
standard_e8_v4,ev5,intel xeon platinum 8370c cpu @ 2.80ghz,8,1,62.8,126346,9905,7.84%,49
standard_e8_v5,eadsv5,amd epyc 7763 64-core processor,24,1,661,450787,5791,1.28%,35
standard_e96-24ads_v5,easv4,amd epyc 7452 32-core processor,24,11,672,423442,8504,2.01%,182
standard_e96-24as_v4,easv5,amd epyc 7763 64-core processor,24,1,661,448295,6035,1.35%,35
standard_e96-24as_v5,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,24,2,661.4,397038,5317,1.34%,35
standard_e96-24ds_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,24,2,661.4,368448,27903,7.57%,35
standard_e96-24s_v5,eadsv5,amd epyc 7763 64-core processor,48,1,661,894161,10898,1.22%,35
standard_e96-48ads_v5,easv4,amd epyc 7452 32-core processor,48,11,672,839993,14218,1.69%,70
standard_e96-48as_v4,easv5,amd epyc 7763 64-core processor,48,1,661,899801,11515,1.28%,35
standard_e96-48as_v5,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,48,2,661.4,800107,8216,1.03%,35
standard_e96-48ds_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,48,2,661.4,711917,43548,6.12%,35
standard_e96-48s_v5,eadsv5,amd epyc 7763 64-core processor,96,2,661.4,1832942,15387,0.84%,35
standard_e96ads_v5,easv4,amd epyc 7452 32-core processor,96,12,672,1578349,27080,1.72%,42
standard_e96as_v4,easv4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96as_v4,easv5,amd epyc 7763 64-core processor,96,2,661.4,1829274,23977,1.31%,35
standard_e96as_v5,eav4,amd epyc 7452 32-core processor,96,12,672,1592228,32515,2.04%,14
standard_e96a_v4,eav4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96a_v4,edsv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1580476,17308,1.10%,35
standard_e96ds_v5,edv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1584556,18706,1.18%,49
standard_e96d_v5,eadsv5,amd epyc 7763 64-core processor,96,2,661.4,1837643,18009,0.98%,35
standard_e96iads_v5,easv4,amd epyc 7452 32-core processor,96,12,672,n/a,-,-,-
standard_e96ias_v4,easv5,amd epyc 7763 64-core processor,96,2,661.4,1836489,27407,1.49%,35
standard_e96ias_v5,esv5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1417598,86297,6.09%,35
standard_e96s_v5,ev5,intel xeon platinum 8370c cpu @ 2.80ghz,96,2,661.4,1369408,18928,1.38%,35
standard_e96_v5,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,16,2,32,253473,8597,3.39%,140
standard_f16,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,16,1,32,257457,7596,2.95%,126
standard_f16,f,intel xeon platinum 8171m cpu @ 2.60 ghz,16,1,32,244559,8036,3.29%,70
standard_f16,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,283565,8683,3.06%,14
standard_f16,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,16,2,32,260883,15853,6.08%,42
standard_f16s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,16,1,32,255762,4966,1.94%,182
standard_f16s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,16,1,32,248884,11035,4.43%,70
standard_f16s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,310303,21942,7.07%,28
standard_f16s,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,16,1,32,260760,3629,1.39%,112
standard_f16s_v2,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,1,1,2,17356,1151,6.63%,112
standard_f16s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,16,1,32,271369,1955,0.72%,280
standard_f16s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60 ghz,16,1,32,265158,2185,0.82%,182
standard_f16s_v2,fsv2,intel xeon platinum 8272cl cpu @ 2.60ghz,16,1,32,271236,1325,0.49%,105
standard_f1,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,1,1,2,16508,1740,10.54%,154
standard_f1,f,intel xeon platinum 8171m cpu @ 2.60 ghz,1,1,2,16076,2065,12.84%,70
standard_f1,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,1,1,2,20074,1612,8.03%,14
standard_f1,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,1,1,2,16445,825,5.02%,42
standard_f1s,f,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,4,32770,1915,5.84%,126
standard_f1s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,1,1,2,17614,2873,16.31%,210
standard_f1s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,1,1,2,16053,1802,11.22%,70
standard_f1s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,1,1,2,20007,1684,8.42%,28
standard_f2,f,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,4,33081,2242,6.78%,126
standard_f2,f,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,4,33310,2532,7.60%,84
standard_f2,f,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,40746,2027,4.98%,14
standard_f2,fs,intel xeon cpu e5-2673 v3 @ 2.40 ghz,2,1,4,33451,3424,10.24%,70
standard_f2s,fs,intel xeon cpu e5-2673 v4 @ 2.30 ghz,2,1,4,33626,2990,8.89%,154
standard_f2s,fs,intel xeon platinum 8171m cpu @ 2.60 ghz,2,1,4,34386,3851,11.20%,98
standard_f2s,fs,intel xeon platinum 8272cl cpu @ 2.60 ghz,2,1,4,36826,344,0.94%,28
standard_f2s,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,2,1,4,34903,1101,3.15%,112
standard_f2s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70ghz,2,1,4,35925,603,1.68%,308
standard_f2s_v2,fsv2,intel xeon platinum 8168 cpu @ 2.70 ghz,32,1,64,525608,6270,1.19%,98
