id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source,gwp_manufacturing_1h_impact,energy_1h_load0,gwp_use_1h_load0_FRA,gwp_use_1h_load0_GBR,gwp_use_1h_load0_USA,energy_1h_load50,gwp_use_1h_load50_FRA,gwp_use_1h_load50_GBR,gwp_use_1h_load50_USA,energy_1h_load100,gwp_use_1h_load100_FRA,gwp_use_1h_load100_GBR,gwp_use_1h_load100_USA
e4bds_v5,4,32.0,150.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0015,14.763498749999998,0.00145,0.0036,0.0055,28.879121249999997,0.00283,0.0071,0.0107,34.999615,0.0034,0.0086,0.0129
e8bds_v5,8,64.0,300.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0031,29.526997499999997,0.00289,0.0073,0.0109,57.758242499999994,0.0057,0.0142,0.0214,69.99923,0.0069,0.0172,0.0259
e16bds_v5,16,128.0,600.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0061,59.05399499999999,0.0058,0.0145,0.0218,115.51648499999999,0.0113,0.0284,0.043,139.99846,0.0137,0.034,0.052
e32bds_v5,32,256.0,1200.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.012,118.10798999999999,0.0116,0.0291,0.044,231.03296999999998,0.0226,0.057,0.085,279.99692,0.0274,0.069,0.104
e48bds_v5,48,384.0,1800.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.018,177.16198500000002,0.0174,0.044,0.066,346.54945499999997,0.034,0.085,0.128,419.99537999999995,0.041,0.103,0.155
e64bds_v5,64,512.0,2400.0,0.0,0,Ebdsv5-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.025,236.21597999999997,0.0231,0.058,0.087,462.06593999999996,0.045,0.114,0.171,559.99384,0.055,0.138,0.207
standard_a1_v2,1,2.0,10.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00017,1.3502185576923078,0.000132,0.000332,0.0005,4.486985192307693,0.00044,0.0011,0.00166,5.847165961538462,0.00057,0.00144,0.00216
standard_a2_v2,2,4.0,20.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00034,2.7004371153846156,0.000265,0.00066,0.001,8.973970384615386,0.00088,0.00221,0.00332,11.694331923076923,0.00115,0.00288,0.0043
standard_a2m_v2,2,16.0,20.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00089,7.233077115384615,0.00071,0.00178,0.00268,13.506610384615385,0.00132,0.00332,0.005,16.226971923076924,0.00159,0.004,0.006
standard_a4_v2,4,8.0,40.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.00067,5.400874230769231,0.00053,0.00133,0.002,17.947940769230772,0.00176,0.0044,0.0066,23.388663846153847,0.00229,0.0058,0.0087
standard_a8_v2,8,16.0,80.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0013,10.801748461538462,0.00106,0.00266,0.004,35.895881538461545,0.0035,0.0088,0.0133,46.77732769230769,0.0046,0.0115,0.0173
standard_a8m_v2,8,64.0,80.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0036,28.93230846153846,0.00284,0.0071,0.0107,54.02644153846154,0.0053,0.0133,0.02,64.9078876923077,0.0064,0.016,0.024
standard_b12ms,12,48.0,96.0,0.0,0,Ddsv4-Type1,"Vantage for instance specs (https://instances.vantage.sh/azure/), Azure docs for instance-host mapping, see README for details.",0.0031,25.26790269230769,0.00248,0.0062,0.0093,62.90910230769231,0.0062,0.0155,0.0233,79.23127153846154,0.0078,0.0195,0.0293
