"Name","API Name","Instance Memory","Compute Units (ECU)","vCPUs","GiB of Memory per vCPU","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Baseline Bandwidth","EBS Optimized: Baseline Throughput (128K)","EBS Optimized: Baseline IOPS (16K)","EBS Optimized: Max Bandwidth","EBS Optimized: Max Throughput (128K)","EBS Optimized: Max IOPS (16K)","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Availability Zones","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Linux Spot Maximum cost","RHEL On Demand cost","RHEL Reserved cost","RHEL Spot Minimum cost","RHEL Spot Maximum cost","SLES On Demand cost","SLES Reserved cost","SLES Spot Minimum cost","SLES Spot Maximum cost","Windows On Demand cost","Windows Reserved cost","Windows Spot Minimum cost","Windows Spot Maximum cost","Dedicate Host On Demand","Dedicated Host Reserved","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost","Generation"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","0 units","64 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.6 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","200 Gigabit","33333.0 Mbps","4166.62 MB/s","133333.0 IOPS","40000.0 Mbps","5000.0 MB/s","160000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az4, use1-az5, use1-az6","$3.9936 hourly","$2.5160 hourly","$1.5688 hourly","$2.0812 hourly","$4.1236 hourly","$2.6460 hourly","$1.6988 hourly","$2.2112 hourly","$4.1186 hourly","$2.5759 hourly","$1.6938 hourly","$2.2062 hourly","unavailable","unavailable","unavailable","unavailable","$13.1790 hourly","$8.3030 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.9984 hourly","current"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","0 units","32 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","47520 GB                 (24 * 1980 GB NVMe HDD)","Yes","N/A","64-bit","25 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","60","3","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$3.9955 hourly","$2.5172 hourly","$1.2664 hourly","$1.3200 hourly","$4.1255 hourly","$2.6472 hourly","$1.3964 hourly","$1.4500 hourly","$4.1205 hourly","$2.5772 hourly","$1.3914 hourly","$1.4450 hourly","$5.4675 hourly","$3.9892 hourly","$2.6290 hourly","$2.7691 hourly","unavailable","unavailable","$6.0083 hourly","$4.5300 hourly","$9.3075 hourly","$7.8292 hourly","$17.4675 hourly","$15.9892 hourly","$4.5363 hourly","$3.0580 hourly","$7.8355 hourly","$6.3572 hourly","$15.9955 hourly","$14.5172 hourly","0","$0.2700 hourly","current"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","0 units","48 vCPUs","16.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton2 Processor","2.5 GHz","unknown","unknown","unknown","unknown","2850 GB                 (2 * 1425 GB NVMe SSD)","Yes","No","64-bit","20 Gigabit","14250.0 Mbps","1781.25 MB/s","60000.0 IOPS","14250.0 Mbps","1781.25 MB/s","60000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0080 hourly","$2.4699 hourly","$1.5494 hourly","$1.9392 hourly","$4.1380 hourly","$2.5999 hourly","$1.6794 hourly","$2.0692 hourly","$4.1330 hourly","$2.5299 hourly","$1.6744 hourly","$2.0642 hourly","unavailable","unavailable","unavailable","unavailable","$5.8780 hourly","$3.6230 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$1.0020 hourly","current"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","1800 GB                 (2 * 900 GB NVMe SSD)","Yes","No","64-bit","50 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0080 hourly","$2.5250 hourly","$1.5037 hourly","$1.9717 hourly","$4.1730 hourly","$2.6870 hourly","$1.6337 hourly","$2.1017 hourly","unavailable","unavailable","$1.6287 hourly","$2.0967 hourly","$6.2160 hourly","$4.7330 hourly","$3.4816 hourly","$3.7313 hourly","$8.8180 hourly","$5.5640 hourly","$7.0270 hourly","$5.5440 hourly","$11.9760 hourly","$10.4930 hourly","$24.2160 hourly","$22.7330 hourly","$4.8190 hourly","$3.3360 hourly","$9.7680 hourly","$8.2850 hourly","$22.0080 hourly","$20.5250 hourly","0","$0.2700 hourly","current"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","20000.0 Mbps","2500.0 MB/s","80000.0 IOPS","20000.0 Mbps","2500.0 MB/s","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0320 hourly","$2.6672 hourly","$1.5054 hourly","$2.0039 hourly","$4.1620 hourly","$2.7972 hourly","$1.6354 hourly","$2.1339 hourly","$4.1570 hourly","$2.7272 hourly","$1.6304 hourly","$2.1289 hourly","$6.9760 hourly","$5.6112 hourly","$4.5410 hourly","$4.8528 hourly","$8.8700 hourly","$5.8680 hourly","$8.0576 hourly","$6.6928 hourly","$14.6560 hourly","$13.2912 hourly","$30.9760 hourly","$29.6112 hourly","$5.1136 hourly","$3.7488 hourly","$11.7120 hourly","$10.3472 hourly","$28.0320 hourly","$26.6672 hourly","0","$1.0080 hourly","current"
"R5 16xlarge","r5.16xlarge","512.0 GiB","256 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","4 units","Intel Xeon Platinum 8175","3.1 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","20 Gigabit","13600.0 Mbps","1700.0 MB/s","60000.0 IOPS","13600.0 Mbps","1700.0 MB/s","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0320 hourly","$2.5400 hourly","$1.5884 hourly","$1.8819 hourly","$4.1970 hourly","$2.7020 hourly","$1.7184 hourly","$2.0119 hourly","$4.1570 hourly","$2.6000 hourly","$1.7134 hourly","$2.0069 hourly","$6.9760 hourly","$5.4840 hourly","$4.7577 hourly","$4.9109 hourly","$6.6530 hourly","$4.1910 hourly","$8.0580 hourly","$6.5660 hourly","$14.6560 hourly","$13.1640 hourly","$30.9760 hourly","$29.4840 hourly","$5.1140 hourly","$3.6220 hourly","$11.7120 hourly","$10.2200 hourly","$28.0320 hourly","$26.5400 hourly","0","$0.2700 hourly","current"
"C5 High-CPU Metal","c5.metal","192.0 GiB","375 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","3.906 units","Intel Xeon Platinum 8275L","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 MB/s","80000.0 IOPS","19000.0 Mbps","2375.0 MB/s","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","HVM","No","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0800 hourly","$2.5700 hourly","$2.1724 hourly","$2.9564 hourly","$4.2450 hourly","$2.7320 hourly","$2.3024 hourly","$3.0864 hourly","$4.1800 hourly","$2.6030 hourly","$2.2724 hourly","$3.0564 hourly","$8.4960 hourly","$6.9860 hourly","$6.5237 hourly","$7.1797 hourly","$3.3660 hourly","$2.1210 hourly","$10.1180 hourly","$8.6090 hourly","$20.0160 hourly","$18.5060 hourly","$44.4960 hourly","$42.9860 hourly","$5.7020 hourly","$4.1930 hourly","$15.6000 hourly","$14.0900 hourly","$40.0800 hourly","$38.5700 hourly","0","unavailable","current"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","375 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","3.906 units","Intel Xeon Platinum 8275L","3 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 MB/s","80000.0 IOPS","19000.0 Mbps","2375.0 MB/s","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0800 hourly","$2.5700 hourly","$1.3939 hourly","$2.6979 hourly","$4.2450 hourly","$2.7320 hourly","$1.5239 hourly","$2.8279 hourly","$4.1800 hourly","$2.6030 hourly","$1.4939 hourly","$2.7979 hourly","$8.4960 hourly","$6.9860 hourly","$5.5901 hourly","$7.0542 hourly","$3.3660 hourly","$2.1210 hourly","$10.1180 hourly","$8.6090 hourly","$20.0160 hourly","$18.5060 hourly","$44.4960 hourly","$42.9860 hourly","$5.7020 hourly","$4.1930 hourly","$15.6000 hourly","$14.0900 hourly","$40.0800 hourly","$38.5700 hourly","0","$0.2700 hourly","current"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","0 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","37.5 Gigabit","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0800 hourly","$2.6989 hourly","$1.8686 hourly","$2.7807 hourly","$4.2100 hourly","$2.8289 hourly","$1.9986 hourly","$2.9107 hourly","$4.2050 hourly","$2.7589 hourly","$1.9936 hourly","$2.9057 hourly","$8.4960 hourly","$7.1149 hourly","$5.9748 hourly","$6.9030 hourly","$5.9840 hourly","$3.9580 hourly","$10.1184 hourly","$8.7373 hourly","$20.0160 hourly","$18.6349 hourly","$44.4960 hourly","$43.1149 hourly","$5.7024 hourly","$4.3213 hourly","$15.6000 hourly","$14.2189 hourly","$40.0800 hourly","$38.6989 hourly","0","$1.0200 hourly","current"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","1","NVIDIA A10G","24 GiB","7.5","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","1900 GB                 NVMe SSD","Yes","No","64-bit","25 Gigabit","16000.0 Mbps","2000.0 MB/s","65000.0 IOPS","16000.0 Mbps","2000.0 MB/s","65000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.0960 hourly","$2.5805 hourly","$1.9512 hourly","$2.1458 hourly","$4.2610 hourly","$2.7425 hourly","$2.0812 hourly","$2.2758 hourly","$4.2210 hourly","$2.6405 hourly","$2.0762 hourly","$2.2708 hourly","$7.0400 hourly","$5.5245 hourly","$4.9564 hourly","$5.4412 hourly","$17.9170 hourly","$11.2880 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$1.0240 hourly","current"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","0 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R32","2.8 GHz","unknown","unknown","unknown","unknown","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","No","64-bit","20 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.1280 hourly","$2.6010 hourly","$2.0152 hourly","$3.0345 hourly","$4.2580 hourly","$2.7310 hourly","$2.1452 hourly","$3.1645 hourly","$4.2530 hourly","$2.6610 hourly","$2.1402 hourly","$3.1595 hourly","$8.5440 hourly","$7.0170 hourly","$6.6016 hourly","$7.0514 hourly","unavailable","unavailable","$10.1660 hourly","$8.6390 hourly","$20.0640 hourly","$18.5370 hourly","$44.5440 hourly","$43.0170 hourly","$5.7500 hourly","$4.2230 hourly","$15.6480 hourly","$14.1210 hourly","$40.1280 hourly","$38.6010 hourly","0","$0.2700 hourly","current"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","13750.0 Mbps","1718.75 MB/s","60000.0 IOPS","13750.0 Mbps","1718.75 MB/s","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.1280 hourly","$2.6010 hourly","$2.3089 hourly","$3.0261 hourly","$4.2930 hourly","$2.7630 hourly","$2.4389 hourly","$3.1561 hourly","$4.2530 hourly","$2.6610 hourly","$2.4339 hourly","$3.1511 hourly","$8.5440 hourly","$7.0170 hourly","$6.5675 hourly","$7.4691 hourly","unavailable","unavailable","$10.1660 hourly","$8.6390 hourly","$20.0640 hourly","$18.5370 hourly","$44.5440 hourly","$43.0170 hourly","$5.7500 hourly","$4.2230 hourly","$15.6480 hourly","$14.1210 hourly","$40.1280 hourly","$38.6010 hourly","0","$0.2700 hourly","current"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","0 units","96 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7R13 Processor","2.95 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","37.5 Gigabit","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.1472 hourly","$2.7434 hourly","$2.3351 hourly","$2.4333 hourly","$4.2772 hourly","$2.8734 hourly","$2.4651 hourly","$2.5633 hourly","$4.2722 hourly","$2.8034 hourly","$2.4601 hourly","$2.5583 hourly","$8.5632 hourly","$7.1594 hourly","$6.7225 hourly","$7.3345 hourly","$9.1240 hourly","$6.0350 hourly","$10.1856 hourly","$8.7818 hourly","$20.0832 hourly","$18.6794 hourly","$44.5632 hourly","$43.1594 hourly","$5.7696 hourly","$4.3658 hourly","$15.6672 hourly","$14.2634 hourly","$40.1472 hourly","$38.7434 hourly","0","$1.0368 hourly","current"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","75 Gigabit","30000.0 Mbps","3750.0 MB/s","131250.0 IOPS","30000.0 Mbps","3750.0 MB/s","131250.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$4.1839 hourly","$2.6359 hourly","$1.6698 hourly","$2.0400 hourly","$4.3139 hourly","$2.7659 hourly","$1.7998 hourly","$2.1700 hourly","$4.3089 hourly","$2.6958 hourly","$1.7948 hourly","$2.1650 hourly","$6.3919 hourly","$4.8439 hourly","$3.4639 hourly","$3.7125 hourly","$12.2730 hourly","$7.7320 hourly","$7.2031 hourly","$5.6551 hourly","$12.1519 hourly","$10.6039 hourly","$24.3919 hourly","$22.8439 hourly","$4.9951 hourly","$3.4471 hourly","$9.9439 hourly","$8.3959 hourly","$22.1839 hourly","$20.6359 hourly","0","$1.0460 hourly","current"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","2400 GB                 (4 * 600 GB NVMe SSD)","Yes","No","64-bit","12 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.1920 hourly","$2.6410 hourly","$1.4571 hourly","$2.1064 hourly","$4.3220 hourly","$2.7710 hourly","$1.5871 hourly","$2.2364 hourly","$4.3170 hourly","$2.7010 hourly","$1.5821 hourly","$2.2314 hourly","$7.1360 hourly","$5.5850 hourly","$4.6733 hourly","$4.9644 hourly","unavailable","unavailable","$8.2180 hourly","$6.6670 hourly","$14.8160 hourly","$13.2650 hourly","$31.1360 hourly","$29.5850 hourly","$5.2740 hourly","$3.7230 hourly","$11.8720 hourly","$10.3210 hourly","$28.1920 hourly","$26.6410 hourly","0","$0.2700 hourly","current"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","0 units","32 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","Yes","Yes","Yes","Yes","223680 GB                 (16 * 13980 GB NVMe HDD)","Yes","N/A","64-bit","50 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","80","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az6","$4.2058 hourly","$2.6496 hourly","$1.0603 hourly","$1.3348 hourly","$4.3708 hourly","$2.8116 hourly","$1.1903 hourly","$1.4648 hourly","$4.3308 hourly","$2.7096 hourly","$1.1853 hourly","$1.4598 hourly","$5.6778 hourly","$4.1216 hourly","$2.4952 hourly","$2.8466 hourly","unavailable","unavailable","$6.2186 hourly","$4.6624 hourly","$9.5178 hourly","$7.9616 hourly","$17.6778 hourly","$16.1216 hourly","$4.7466 hourly","$3.1904 hourly","$8.0458 hourly","$6.4896 hourly","$16.2058 hourly","$14.6496 hourly","0","$0.2700 hourly","current"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","201 units","64 vCPUs","7.62 GiB/vCPU","0","None","0 GiB","0","0","3.141 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","14000.0 Mbps","1750.0 MB/s","75000.0 IOPS","No","750","15","Yes","Yes","Yes","Yes","HVM","Yes","use1-az1, use1-az2, use1-az3, use1-az4, use1-az5, use1-az6","$4.2560 hourly","$2.6880 hourly","$1.6694 hourly","$2.0109 hourly","$4.3860 hourly","$2.8180 hourly","$1.7994 hourly","$2.1409 hourly","$4.3560 hourly","$2.7210 hourly","$1.7694 hourly","$2.1109 hourly","$7.2000 hourly","$5.6320 hourly","$4.4794 hourly","$4.9601 hourly","$4.6820 hourly","$2.9570 hourly","$8.3270 hourly","$6.7590 hourly","$14.8800 hourly","$13.3120 hourly","$31.2000 hourly","$29.6320 hourly","$5.3376 hourly","$3.7696 hourly","$11.9360 hourly","$10.3680 hourly","$28.2560 hourly","$26.6880 hourly","0","$0.2700 hourly","current"
"C7I 24xlarge","c7i.24xlarge","192.0 GiB","0 units","96 vCPUs","2.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Scalable (Sapphire Rapids)","3.2 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","37.5 Gigabit","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","30000.0 Mbps","3750.0 MB/s","120000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$4.2840 hourly","$2.8339 hourly","$2.3844 hourly","$2.9291 hourly","$4.4140 hourly","$2.9639 hourly","$2.5144 hourly","$3.0591 hourly","$4.4090 hourly","$2.8938 hourly","$2.5094 hourly","$3.0541 hourly","$8.7000 hourly","$7.2499 hourly","$6.6151 hourly","$6.8326 hourly","$9.4250 hourly","$6.2350 hourly","$10.3224 hourly","$8.8723 hourly","$20.2200 hourly","$18.7699 hourly","$44.7000 hourly","$43.2499 hourly","$5.9064 hourly","$4.4563 hourly","$15.8040 hourly","$14.3539 hourly","$40.2840 hourly","$38.8339 hourly","0","unavailable","current"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8259 (Cascade Lake)","3.1 GHz","unknown","unknown","unknown","unknown","2400 GB                 (4 * 600 GB NVMe SSD)","Yes","No","64-bit","75 Gigabit","13600.0 Mbps","1700.0 MB/s","60000.0 IOPS","13600.0 Mbps","1700.0 MB/s","60000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.3520 hourly","$2.7420 hourly","$1.6609 hourly","$2.1334 hourly","$4.5170 hourly","$2.9040 hourly","$1.7909 hourly","$2.2634 hourly","unavailable","unavailable","$1.7859 hourly","$2.2584 hourly","$7.2960 hourly","$5.6860 hourly","$4.6887 hourly","$4.9555 hourly","$7.1810 hourly","$4.5240 hourly","$8.3780 hourly","$6.7670 hourly","$14.9760 hourly","$13.3660 hourly","$31.2960 hourly","$29.6860 hourly","$5.4340 hourly","$3.8230 hourly","$12.0320 hourly","$10.4220 hourly","$28.3520 hourly","$26.7420 hourly","0","$0.2700 hourly","current"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","1","NVIDIA T4 Tensor Core","16 GiB","7.5","0","0 units","Intel Xeon Family","2.5 GHz","Yes","Yes","Yes","Yes","900 GB                 NVMe SSD","Yes","No","64-bit","50 Gigabit","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","9500.0 Mbps","1187.5 MB/s","40000.0 IOPS","Yes","60","4","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az1, use1-az2, use1-az4, use1-az5, use1-az6","$4.3520 hourly","$2.7420 hourly","$1.7926 hourly","$2.1054 hourly","$4.4820 hourly","$2.8720 hourly","$1.9226 hourly","$2.2354 hourly","$4.4770 hourly","$2.8020 hourly","$1.9176 hourly","$2.2304 hourly","$7.2960 hourly","$5.6860 hourly","$4.6835 hourly","$5.3204 hourly","$8.6060 hourly","$5.4220 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.2700 hourly","current"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","0 units","64 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","AWS Graviton3 Processor","2.5 GHz","unknown","unknown","unknown","unknown","3800 GB                 (2 * 1900 GB NVMe SSD)","Yes","No","64-bit","30 Gigabit","20000.0 Mbps","2500.0 MB/s","80000.0 IOPS","20000.0 Mbps","2500.0 MB/s","80000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$4.3546 hourly","$2.7367 hourly","$1.6224 hourly","$2.0281 hourly","$4.4846 hourly","$2.8667 hourly","$1.7524 hourly","$2.1581 hourly","$4.4796 hourly","$2.7966 hourly","$1.7474 hourly","$2.1531 hourly","unavailable","unavailable","unavailable","unavailable","$14.3700 hourly","$9.0310 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$1.0886 hourly","current"
"M6IN 16xlarge","m6in.16xlarge","256.0 GiB","0 units","64 vCPUs","4.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon 8375C (Ice Lake)","3.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","100 Gigabit","40000.0 Mbps","5000.0 MB/s","175000.0 IOPS","40000.0 Mbps","5000.0 MB/s","175000.0 IOPS","Yes","750","15","Yes","Yes","Yes","Yes","Unknown","Yes","use1-az2, use1-az4, use1-az5, use1-az6","$4.4554 hourly","$2.8069 hourly","$1.6200 hourly","$2.0244 hourly","$4.5854 hourly","$2.9369 hourly","$1.7500 hourly","$2.1544 hourly","$4.5804 hourly","$2.8668 hourly","$1.7450 hourly","$2.1494 hourly","$7.3994 hourly","$5.7509 hourly","$4.5208 hourly","$4.6327 hourly","$9.8020 hourly","$6.1750 hourly","$8.4810 hourly","$6.8325 hourly","$15.0794 hourly","$13.4309 hourly","$31.3994 hourly","$29.7509 hourly","$5.5370 hourly","$3.8885 hourly","$12.1354 hourly","$10.4869 hourly","$28.4554 hourly","$26.8069 hourly","0","$1.1138 hourly","current"
"R7IZ 12xlarge","r7iz.12xlarge","384.0 GiB","0 units","48 vCPUs","8.00 GiB/vCPU","0","None","0 GiB","0","0","0 units","Intel Xeon Scalable (Sapphire Rapids)","3900 MHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","19000.0 Mbps","2375.0 MB/s","76000.0 IOPS","19000.0 Mbps","2375.0 MB/s","76000.0 IOPS","Yes","240","8","Yes","Yes","Yes","Yes","Unknown","No","use1-az2, use1-az4, use1-az5, use1-az6","$4.4640 hourly","$2.8123 hourly","$1.5008 hourly","$1.8921 hourly","$4.6290 hourly","$2.9743 hourly","$1.6308 hourly","$2.0221 hourly","$4.5890 hourly","$2.8722 hourly","$1.6258 hourly","$2.0171 hourly","$6.6720 hourly","$5.0203 hourly","$3.4693 hourly","$3.8822 hourly","$13.0940 hourly","$8.2490 hourly","$7.4832 hourly","$5.8315 hourly","$12.4320 hourly","$10.7803 hourly","$24.6720 hourly","$23.0203 hourly","$5.2752 hourly","$3.6235 hourly","$10.2240 hourly","$8.5723 hourly","$22.4640 hourly","$20.8123 hourly","0","unavailable","current"
