name,release_date,manufacturer,code_name,model_range,frequency,tdp,cores,total_die_size,total_die_size_source,source,process_size,die_size,io_die_size,io_process_size,transistors,foundry
AMD EPYC 7443P,"Mar 15th, 2021",AMD,Milan,EPYC,2.85 GHz,200.0,24.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7443p.c2385,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
AMD EPYC 7451,"Jun 29th, 2017",AMD,Naples,EPYC,2.3 GHz,180.0,24.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7451.c1923,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7452,"Aug 7th, 2019",AMD,Rome,EPYC,2.2 GHz,155.0,32.0,1008.0,io_die_size (416 mm2) + die_size (8x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7452.c2251,7.0,8x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7453,"Mar 15th, 2021",AMD,Milan,EPYC,2.75 GHz,225.0,28.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7453.c2382,7.0,4x 81 mm²,416 mm²,12 nm,"16,600 million",TSMC
AMD EPYC 7473X,"Mar 22nd, 2022",AMD,Milan-X,EPYC,2.8 GHz,240.0,24.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7473x.c2761,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 74F3,"Mar 15th, 2021",AMD,Milan,EPYC,2.8 GHz,240.0,24.0,740.0,io_die_size (416 mm²) + die_size (4x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-74f3.c2383,7.0,4x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7501,"Jun 29th, 2017",AMD,Naples,EPYC,2000 MHz,170.0,32.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7501.c1922,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7502,"Aug 7th, 2019",AMD,Rome,EPYC,2.5 GHz,180.0,32.0,1008.0,io_die_size (416 mm2) + die_size (8x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7502.c2250,7.0,8x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7502P,"Aug 7th, 2019",AMD,Rome,EPYC,2.5 GHz,180.0,32.0,1008.0,io_die_size (416 mm2) + die_size (8x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7502p.c2260,7.0,8x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7513,"Mar 15th, 2021",AMD,Milan,EPYC,2.6 GHz,200.0,32.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7513.c2381,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7532,,AMD,Rome,EPYC,,,,1600.0,Max value of cpu_specs https://www.techpowerup.com/cpu-specs/epyc-7702.c2246,https://github.com/cloud-carbon-footprint/cloud-carbon-coefficients/tree/main/data,,,,,,
AMD EPYC 7542,"Aug 7th, 2019",AMD,Rome,EPYC,2.9 GHz,225.0,32.0,1008.0,io_die_size (416 mm2) + die_size (8x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7542.c2249,7.0,8x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7543,"Mar 15th, 2021",AMD,Milan,EPYC,2.8 GHz,225.0,32.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7543.c2379,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7543P,"Mar 15th, 2021",AMD,Milan,EPYC,2.8 GHz,225.0,32.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7543p.c2380,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7551,"Jun 29th, 2017",AMD,Naples,EPYC,2000 MHz,180.0,32.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7551.c1921,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7551P,"Jun 29th, 2017",AMD,Naples,EPYC,2000 MHz,180.0,32.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7551p.c1929,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7552,"Aug 7th, 2019",AMD,Rome,EPYC,2.2 GHz,200.0,48.0,1304.0,io_die_size (416 mm2) + die_size (12x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7552.c2248,7.0,12x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
AMD EPYC 7571,,AMD,Naples,EPYC,,200.0,24.0,213.0,Value of cpu_specs https://www.techpowerup.com/cpu-specs/epyc-7401.c1924,https://docs.google.com/spreadsheets/d/1DqYgQnEDLQVQm5acMAhLgHLD8xXCG9BIrk-_Nv6jF3k/edit#gid=224728652,,,,,,
AMD EPYC 7573X,"Mar 22nd, 2022",AMD,Milan-X,EPYC,2.8 GHz,280.0,32.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-7573x.c2760,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 75F3,"Mar 15th, 2021",AMD,Milan,EPYC,2.95 GHz,280.0,32.0,1064.0,io_die_size (416 mm²) + die_size (8x 81 mm²),https://www.techpowerup.com/cpu-specs/epyc-75f3.c2378,7.0,8x 81 mm²,416 mm²,12 nm,"33,200 million",TSMC
AMD EPYC 7601,"Jun 29th, 2017",AMD,Naples,EPYC,2.2 GHz,180.0,32.0,213.0,io_die_size () + die_size (213 mm²),https://www.techpowerup.com/cpu-specs/epyc-7601.c1920,14.0,213 mm²,,,"4,800 million",GlobalFoundries
AMD EPYC 7642,"Aug 7th, 2019",AMD,Rome,EPYC,2.4 GHz,225.0,48.0,1304.0,io_die_size (416 mm2) + die_size (12x 74 mm²),https://www.techpowerup.com/cpu-specs/epyc-7642.c2247,7.0,12x 74 mm²,416 mm2,14 nm,"3,800 million",TSMC
