name,source,code_name,frequency,tdp,cores,total_die_size,total_die_size_source,manufacturer
AMD Athlon 64 1500+,https://www.techpowerup.com/cpu-specs/athlon-64-1500.c543,Venice,1000 MHz,9,1,84.0,io_die_size () + die_size (84 mm²),AMD
AMD Athlon 64 2000+,https://www.techpowerup.com/cpu-specs/athlon-64-2000.c579,Lima,1000 MHz,8,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 2600+,https://www.techpowerup.com/cpu-specs/athlon-64-2600.c580,Lima,1600 MHz,15,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 2650e,https://www.techpowerup.com/cpu-specs/athlon-64-2650e.c581,Lima,1600 MHz,15,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 2700+,https://www.techpowerup.com/cpu-specs/athlon-64-2700.c66,NewCastle,1600 MHz,32,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 2800+,https://www.techpowerup.com/cpu-specs/athlon-64-2800.c320,Clawhammer,1800 MHz,89,1,193.0,io_die_size () + die_size (193 mm²),AMD
AMD Athlon 64 2800+,https://www.techpowerup.com/cpu-specs/athlon-64-2800.c55,NewCastle,1800 MHz,89,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 2800+,https://www.techpowerup.com/cpu-specs/athlon-64-2800.c65,NewCastle,1800 MHz,32,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 2850e,https://www.techpowerup.com/cpu-specs/athlon-64-2850e.c2150,Lima,1800 MHz,22,1,77.0,io_die_size () + die_size (77 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c64,NewCastle,1800 MHz,32,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c48,Winchester,1800 MHz,67,1,84.0,io_die_size () + die_size (84 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c63,Newark,1800 MHz,62,1,,io_die_size () + die_size (),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c54,NewCastle,2000 MHz,89,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c544,Venice,2000 MHz,51,1,84.0,io_die_size () + die_size (84 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c545,NewCastle,1800 MHz,89,1,144.0,io_die_size () + die_size (144 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c366,Orleans,1800 MHz,62,1,183.0,io_die_size () + die_size (183 mm²),AMD
AMD Athlon 64 3000+,https://www.techpowerup.com/cpu-specs/athlon-64-3000.c344,Venice,2000 MHz,51,1,84.0,io_die_size () + die_size (84 mm²),AMD
