id,vcpu,memory,ssd_storage,hdd_storage,gpu_units,platform,source
g4ad.2xlarge,8,32,300,0,1,platform_aws_g4ad,https://aws.amazon.com/fr/ec2/instance-types/g4/
g4ad.4xlarge,16,64,600,0,1,platform_aws_g4ad,https://aws.amazon.com/fr/ec2/instance-types/g4/
g4ad.8xlarge,32,128,1200,0,2,platform_aws_g4ad,https://aws.amazon.com/fr/ec2/instance-types/g4/
g4ad.16xlarge,64,256,2400,0,4,platform_aws_g4ad,https://aws.amazon.com/fr/ec2/instance-types/g4/
g4dn.xlarge,4,16,125,0,1,g4dn.metal,
g4dn.2xlarge,8,32,450,0,1,g4dn.metal,
g4dn.4xlarge,16,64,450,0,1,g4dn.metal,
g4dn.8xlarge,32,128,900,0,1,g4dn.metal,
g4dn.12xlarge,48,192,900,0,1,g4dn.metal,
g4dn.16xlarge,64,256,900,0,4,g4dn.metal,
g4dn.metal,96,384,1800,0,8,g4dn.metal,
g5.xlarge,4,16,250,0,1,g5.48xlarge,
g5.2xlarge,8,32,450,0,1,g5.48xlarge,
g5.4xlarge,16,64,600,0,1,g5.48xlarge,
g5.8xlarge,32,128,900,0,1,g5.48xlarge,
g5.12xlarge,48,192,3800,0,4,g5.48xlarge,
g5.16xlarge,64,256,1900,0,1,g5.48xlarge,
g5.24xlarge,96,384,3800,0,4,g5.48xlarge,
g5.48xlarge,192,768,7600,0,8,g5.48xlarge,
g5g.xlarge,4,8,0,0,1,g5g.metal,
g5g.2xlarge,8,16,0,0,1,g5g.metal,
g5g.4xlarge,16,32,0,0,1,g5g.metal,
g5g.8xlarge,32,64,0,0,1,g5g.metal,
g5g.16xlarge,64,128,0,0,2,g5g.metal,
g5g.metal,64,128,0,0,2,g5g.metal,
h1.2xlarge,8,32,0,2000,0,platform_aws_h1,
h1.4xlarge,16,64,0,4000,0,platform_aws_h1,
h1.8xlarge,32,128,0,8000,0,platform_aws_h1,
h1.16xlarge,64,256,0,16000,0,platform_aws_h1,
hpc7g.4xlarge,16,128,0,0,0,hpc7g.16xlarge,
hpc7g.8xlarge,32,128,0,0,0,hpc7g.16xlarge,
hpc7g.16xlarge,64,128,0,0,0,hpc7g.16xlarge,
hs1.8xlarge,16,117,0,4000,0,hs1.8xlarge,
i2.large,2,15,400,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/coming-soon-the-i2-instance-type-high-io-performance-via-ssd/
i2.xlarge,4,30.5,800,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i2.xlarge.elasticsearch,4,30.5,800,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i2.2xlarge,8,61,1600,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i2.2xlarge.elasticsearch,8,61,1600,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i2.4xlarge,16,122,3200,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i2.8xlarge,32,244,6400,0,0,platform_aws_i2,https://aws.amazon.com/blogs/aws/amazon-ec2-new-i2-instance-type-available-now/
i3.large,2,15,475,0,0,i3.metal,
i3.large.elasticsearch,2,15,475,0,0,i3.metal,
i3.xlarge,4,31,950,0,0,i3.metal,
i3.xlarge.elasticsearch,4,31,950,0,0,i3.metal,
i3.2xlarge,8,61,1900,0,0,i3.metal,
i3.2xlarge.elasticsearch,8,61,1900,0,0,i3.metal,
i3.4xlarge,16,122,3800,0,0,i3.metal,
i3.4xlarge.elasticsearch,16,122,3800,0,0,i3.metal,
i3.8xlarge,32,244,7600,0,0,i3.metal,
i3.8xlarge.elasticsearch,32,244,7600,0,0,i3.metal,
i3.16xlarge,64,488,15200,0,0,i3.metal,
i3.16xlarge.elasticsearch,64,488,15200,0,0,i3.metal,
i3.metal,72,512,15200,0,0,i3.metal,
i3en.large,2,16,1250,0,0,i3en.metal,
i3en.xlarge,4,32,2500,0,0,i3en.metal,
i3en.2xlarge,8,64,5000,0,0,i3en.metal,
i3en.3xlarge,12,96,7500,0,0,i3en.metal,
i3en.6xlarge,24,192,15000,0,0,i3en.metal,
i3en.12xlarge,48,384,30000,0,0,i3en.metal,
