id,manufacturer,CASE.case_type,year,CPU.units,CPU.core_units,CPU.name,CPU.manufacturer,CPU.model_range,CPU.family,CPU.tdp,CPU.manufacture_date,RAM.capacity,RAM.units,SSD.units,SSD.capacity,HDD.units,HDD.capacity,POWER_SUPPLY.units,GPU.memory,GPU.memory,GPU.units,POWER_SUPPLY.units,POWER_SUPPLY.unit_weight,USAGE.instance_per_server,USAGE.time_workload,USAGE.use_time,USAGE.years_life_time,USAGE.other_consumption_ratio,USAGE.overcommited,Warnings
c5ad.16xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,2,1200,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.53,0,;usage.instance_per_server is rounded
c5ad.24xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,2,1900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.54,0,
c5ad.2xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,1,300,,0,2,,,,2;2;2,2.99;1;5,12,50;0;100,8760,35040,0.33;0.2;0.55,0,
c5ad.4xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,2,300,,0,2,,,,2;2;2,2.99;1;5,6,50;0;100,8760,35040,0.33;0.2;0.56,0,
c5ad.8xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,2,600,,0,2,,,,2;2;2,2.99;1;5,3,50;0;100,8760,35040,0.33;0.2;0.57,0,
c5ad.large,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,1,75,,0,2,,,,2;2;2,2.99;1;5,48,50;0;100,8760,35040,0.33;0.2;0.58,0,
c5ad.xlarge,AWS,rack,2020,1,48,EPYC 7R32,amd,epyc,rome,280,2020,16,12,1,150,,0,2,,,,2;2;2,2.99;1;5,24,50;0;100,8760,35040,0.33;0.2;0.59,0,
c5d.12xlarge,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,2,900,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.60,0,
c5d.18xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,2,900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.61,0,
c5d.24xlarge,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,4,900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.62,0,
c5d.2xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,1,200,,0,2,,,,2;2;2,2.99;1;5,9,50;0;100,8760,35040,0.33;0.2;0.63,0,
c5d.4xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,1,400,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.64,0,;usage.instance_per_server is rounded
c5d.9xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,1,900,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.65,0,
c5d.large,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,1,50,,0,2,,,,2;2;2,2.99;1;5,36,50;0;100,8760,35040,0.33;0.2;0.66,0,
c5d.metal,AWS,rack,2019,2,24,Xeon Platinum 8275CL,intel,xeon platinum,cascadelake,240,2019,16,12,4,900,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.67,0,
c5d.xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,1,100,,0,2,,,,2;2;2,2.99;1;5,18,50;0;100,8760,35040,0.33;0.2;0.68,0,
c5n.18xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.69,0,
c5n.2xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,9,50;0;100,8760,35040,0.33;0.2;0.70,0,
c5n.4xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.71,0,;usage.instance_per_server is rounded
c5n.9xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,2,50;0;100,8760,35040,0.33;0.2;0.72,0,
c5n.large,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,36,50;0;100,8760,35040,0.33;0.2;0.73,0,
c5n.metal,AWS,rack,2019,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2019,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.74,0,
c5n.xlarge,AWS,rack,2018,2,18,Xeon Platinum 8124M,intel,xeon platinum,skylake,240,2018,16,12,0,0,,0,2,,,,2;2;2,2.99;1;5,18,50;0;100,8760,35040,0.33;0.2;0.75,0,
c6g.12xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.76,0,;usage.instance_per_server is rounded
c6g.12xlarge.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.77,0,configuration.ram.capacity not verified;usage.instance_per_server is rounded
c6g.16xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,1,50;0;100,8760,35040,0.33;0.2;0.78,0,
c6g.2xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,8,50;0;100,8760,35040,0.33;0.2;0.79,0,
c6g.2xlarge.elasticsearch,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,32,4,0,0,,0,2,,,,2;2;2,2.99;1;5,8,50;0;100,8760,35040,0.33;0.2;0.80,0,configuration.ram.capacity not verified
c6g.4xlarge,AWS,rack,2019,1,64,Graviton2,Annapurna Labs,Graviton2,Graviton2,150,2019,16,8,0,0,,0,2,,,,2;2;2,2.99;1;5,4,50;0;100,8760,35040,0.33;0.2;0.81,0,
