Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F32s v2,F32s v2,64 GiB,32,256 GiB,€1.3302 hourly,€0.9852 hourly,€0.7879 hourly,€0.2795 hourly,€2.5378 hourly,€2.2468 hourly,€2.0495 hourly,€0.5332 hourly
F4,F4,8 GiB,4,64 GiB,€0.4517 hourly,€0.3071 hourly,€0.2801 hourly,€0.0835 hourly,€0.5288 hourly,€0.4101 hourly,€0.3877 hourly,€0.1058 hourly
F48ads v7,F48ads v7,192 GiB,48,5280 GiB,€4.2664 hourly,€3.0292 hourly,€2.645 hourly,€0.7884 hourly,€6.1588 hourly,€4.9216 hourly,€4.5374 hourly,€1.2318 hourly
F48alds v7,F48alds v7,96 GiB,48,5280 GiB,€3.5568 hourly,€2.5253 hourly,€2.205 hourly,€0.6573 hourly,€5.4492 hourly,€4.4177 hourly,€4.0974 hourly,€1.0898 hourly
F48als v6,F48als v6,96 GiB,48,0 GiB,€3.0074 hourly,€2.1353 hourly,€1.8645 hourly,€0.6126 hourly,€4.8998 hourly,€4.0277 hourly,€3.7569 hourly,€0.9981 hourly
F48als v7,F48als v7,96 GiB,48,0 GiB,€3.0074 hourly,€2.1353 hourly,€1.8645 hourly,€0.5558 hourly,€4.8998 hourly,€4.0277 hourly,€3.7569 hourly,€0.98 hourly
F48amds v7,F48amds v7,384 GiB,48,5280 GiB,€5.4218 hourly,€3.6868 hourly,€3.3616 hourly,€1.0019 hourly,€7.3141 hourly,€5.5792 hourly,€5.254 hourly,€1.4628 hourly
F48ams v6,F48ams v6,384 GiB,48,0 GiB,€4.4516 hourly,€3.0271 hourly,€2.7597 hourly,€0.9068 hourly,€6.3439 hourly,€4.9194 hourly,€4.6521 hourly,€1.2923 hourly
F48ams v7,F48ams v7,384 GiB,48,0 GiB,€4.4516 hourly,€3.0271 hourly,€2.7597 hourly,€0.8226 hourly,€6.3439 hourly,€4.9194 hourly,€4.6521 hourly,€1.2688 hourly
F48as v6,F48as v6,192 GiB,48,0 GiB,€3.3982 hourly,€2.4127 hourly,€2.1068 hourly,€0.6922 hourly,€5.2906 hourly,€4.3051 hourly,€3.9992 hourly,€1.0777 hourly
F48as v7,F48as v7,192 GiB,48,0 GiB,€3.3982 hourly,€2.4127 hourly,€2.1068 hourly,€0.628 hourly,€5.2906 hourly,€4.3051 hourly,€3.9992 hourly,€1.0581 hourly
F48s v2,F48s v2,96 GiB,48,384 GiB,€1.9952 hourly,€1.4779 hourly,€1.1818 hourly,€0.4192 hourly,€3.8885 hourly,€3.3703 hourly,€3.0742 hourly,€0.817 hourly
F4ads v7,F4ads v7,16 GiB,4,440 GiB,€0.3557 hourly,€0.2525 hourly,€0.2204 hourly,€0.0657 hourly,€0.5134 hourly,€0.4102 hourly,€0.3781 hourly,€0.1027 hourly
F4alds v7,F4alds v7,8 GiB,4,440 GiB,€0.2965 hourly,€0.2105 hourly,€0.1837 hourly,€0.0548 hourly,€0.4542 hourly,€0.3682 hourly,€0.3414 hourly,€0.0908 hourly
F4als v6,F4als v6,8 GiB,4,0 GiB,€0.2503 hourly,€0.1777 hourly,€0.1554 hourly,€0.051 hourly,€0.408 hourly,€0.3354 hourly,€0.3131 hourly,€0.0831 hourly
F4als v7,F4als v7,8 GiB,4,0 GiB,€0.2503 hourly,€0.1777 hourly,€0.1554 hourly,€0.0462 hourly,€0.408 hourly,€0.3354 hourly,€0.3131 hourly,€0.0816 hourly
F4amds v7,F4amds v7,32 GiB,4,440 GiB,€0.4517 hourly,€0.3071 hourly,€0.2801 hourly,€0.0835 hourly,€0.6094 hourly,€0.4648 hourly,€0.4378 hourly,€0.1219 hourly
F4ams v6,F4ams v6,32 GiB,4,0 GiB,€0.3711 hourly,€0.2524 hourly,€0.23 hourly,€0.0756 hourly,€0.5288 hourly,€0.4101 hourly,€0.3877 hourly,€0.1077 hourly
F4ams v7,F4ams v7,32 GiB,4,0 GiB,€0.3711 hourly,€0.2524 hourly,€0.23 hourly,€0.0686 hourly,€0.5288 hourly,€0.4101 hourly,€0.3877 hourly,€0.1058 hourly
F4as v6,F4as v6,16 GiB,4,0 GiB,€0.2828 hourly,€0.2008 hourly,€0.1755 hourly,€0.0576 hourly,€0.4405 hourly,€0.3585 hourly,€0.3332 hourly,€0.0897 hourly
F4as v7,F4as v7,16 GiB,4,0 GiB,€0.2828 hourly,€0.2008 hourly,€0.1755 hourly,€0.0523 hourly,€0.4405 hourly,€0.3585 hourly,€0.3332 hourly,€0.0881 hourly
F4s,F4s,8 GiB,4,16 GiB,€0.1946 hourly,€0.1479 hourly,€0.1427 hourly,€0.0397 hourly,€0.3523 hourly,€0.3056 hourly,€0.3004 hourly,€0.0718 hourly
F4s v2,F4s v2,8 GiB,4,32 GiB,€0.1663 hourly,€0.1232 hourly,€0.0985 hourly,€0.0349 hourly,€0.3171 hourly,€0.2809 hourly,€0.2562 hourly,€0.0666 hourly
F64-32ams v7,F64-32ams v7,512 GiB,64,0 GiB,€7.2293 hourly,€4.9159 hourly,€4.4822 hourly,€1.336 hourly,€9.7525 hourly,€7.4391 hourly,€7.0054 hourly,€1.9505 hourly
F64ads v7,F64ads v7,256 GiB,64,7040 GiB,€5.6883 hourly,€4.0387 hourly,€3.5268 hourly,€1.0512 hourly,€8.2115 hourly,€6.5619 hourly,€6.0499 hourly,€1.6423 hourly
F64alds v7,F64alds v7,128 GiB,64,7040 GiB,€4.7421 hourly,€3.3669 hourly,€2.9399 hourly,€0.8763 hourly,€7.2653 hourly,€5.8901 hourly,€5.4631 hourly,€1.4531 hourly
F64als v6,F64als v6,128 GiB,64,0 GiB,€4.0093 hourly,€2.8466 hourly,€2.486 hourly,€0.8167 hourly,€6.5325 hourly,€5.3698 hourly,€5.0091 hourly,€1.3307 hourly
F64als v7,F64als v7,128 GiB,64,0 GiB,€4.0093 hourly,€2.8466 hourly,€2.486 hourly,€0.7409 hourly,€6.5325 hourly,€5.3698 hourly,€5.0091 hourly,€1.3065 hourly
F64amds v7,F64amds v7,512 GiB,64,7040 GiB,€7.2293 hourly,€4.9159 hourly,€4.4822 hourly,€1.336 hourly,€9.7525 hourly,€7.4391 hourly,€7.0054 hourly,€1.9505 hourly
F64ams v6,F64ams v6,512 GiB,64,0 GiB,€5.9351 hourly,€4.0359 hourly,€3.6797 hourly,€1.209 hourly,€8.4583 hourly,€6.5591 hourly,€6.2029 hourly,€1.723 hourly
