Name,API Name,Instance Memory,vCPUs,Storage,Linux On Demand cost,Linux Savings Plan,Linux Reserved cost,Linux Spot cost,Windows On Demand cost,Windows Savings Plan,Windows Reserved cost,Windows Spot cost
F8s,F8s,16 GiB,8,32 GiB,€0.3891 hourly,€0.2957 hourly,€0.2846 hourly,€0.0793 hourly,€0.7045 hourly,€0.6111 hourly,€0.60 hourly,€0.1436 hourly
F8s v2,F8s v2,16 GiB,8,64 GiB,€0.3325 hourly,€0.2463 hourly,€0.1969 hourly,€0.0699 hourly,€0.6342 hourly,€0.5617 hourly,€0.5123 hourly,€0.1333 hourly
FX12-6ms v2,FX12-6ms v2,252 GiB,12,0 GiB,€1.9695 hourly,€1.359 hourly,€1.1228 hourly,€0.4012 hourly,€2.0672 hourly,€1.573 hourly,€1.3816 hourly,€0.4211 hourly
FX12mds,FX12mds,252 GiB,12,504 GiB,€1.157 hourly,€0.8793 hourly,€0.6826 hourly,€0.2138 hourly,€1.6301 hourly,€1.3524 hourly,€1.1557 hourly,€0.3012 hourly
FX12mds v2,FX12mds v2,252 GiB,12,880 GiB,€1.9695 hourly,€1.359 hourly,€1.1228 hourly,€0.4012 hourly,€2.4426 hourly,€1.8321 hourly,€1.5959 hourly,€0.4976 hourly
FX12ms v2,FX12ms v2,252 GiB,12,0 GiB,€1.5941 hourly,€1.0999 hourly,€0.9085 hourly,€0.3247 hourly,€2.0672 hourly,€1.573 hourly,€1.3816 hourly,€0.4211 hourly
FX16-8ms v2,FX16-8ms v2,336 GiB,16,0 GiB,€2.6269 hourly,€1.8126 hourly,€1.4971 hourly,€0.5351 hourly,€3.2577 hourly,€2.4433 hourly,€2.1279 hourly,€0.6636 hourly
FX16mds v2,FX16mds v2,336 GiB,16,880 GiB,€2.6269 hourly,€1.8126 hourly,€1.4971 hourly,€0.5351 hourly,€3.2577 hourly,€2.4433 hourly,€2.1279 hourly,€0.6636 hourly
FX16ms v2,FX16ms v2,336 GiB,16,0 GiB,€2.1255 hourly,€1.4666 hourly,€1.2113 hourly,€0.433 hourly,€2.7563 hourly,€2.0974 hourly,€1.8421 hourly,€0.5615 hourly
FX24-6ms v2,FX24-6ms v2,504 GiB,24,0 GiB,€3.1874 hourly,€2.1993 hourly,€1.8169 hourly,€0.6493 hourly,€4.8861 hourly,€3.6647 hourly,€3.1919 hourly,€0.9953 hourly
FX24mds,FX24mds,504 GiB,24,1008 GiB,€2.3141 hourly,€1.7587 hourly,€1.3653 hourly,€0.4276 hourly,€3.2603 hourly,€2.7049 hourly,€2.3115 hourly,€0.6025 hourly
FX24mds v2,FX24mds v2,504 GiB,24,1320 GiB,€3.9399 hourly,€2.7185 hourly,€2.2457 hourly,€0.8026 hourly,€4.8861 hourly,€3.6647 hourly,€3.1919 hourly,€0.9953 hourly
FX24ms v2,FX24ms v2,504 GiB,24,0 GiB,€3.1874 hourly,€2.1993 hourly,€1.8169 hourly,€0.6493 hourly,€4.1336 hourly,€3.1455 hourly,€2.7631 hourly,€0.842 hourly
FX2mds v2,FX2mds v2,42 GiB,2,110 GiB,€0.3283 hourly,€0.2265 hourly,€0.1872 hourly,€0.0669 hourly,€0.4071 hourly,€0.3053 hourly,€0.266 hourly,€0.0829 hourly
FX2ms v2,FX2ms v2,42 GiB,2,0 GiB,€0.2657 hourly,€0.1833 hourly,€0.1515 hourly,€0.0541 hourly,€0.3445 hourly,€0.2622 hourly,€0.2303 hourly,€0.0702 hourly
FX32-8ms v2,FX32-8ms v2,672 GiB,32,0 GiB,€4.2502 hourly,€2.9326 hourly,€2.4226 hourly,€0.8658 hourly,€5.5117 hourly,€4.1942 hourly,€3.6842 hourly,€1.1227 hourly
FX32mds v2,FX32mds v2,672 GiB,32,1760 GiB,€5.2529 hourly,€3.6245 hourly,€2.9942 hourly,€1.07 hourly,€6.5145 hourly,€4.8861 hourly,€4.2558 hourly,€1.327 hourly
FX32ms v2,FX32ms v2,672 GiB,32,0 GiB,€4.2502 hourly,€2.9326 hourly,€2.4226 hourly,€0.8658 hourly,€5.5117 hourly,€4.1942 hourly,€3.6842 hourly,€1.1227 hourly
FX36mds,FX36mds,756 GiB,36,1512 GiB,€3.4711 hourly,€2.638 hourly,€2.0479 hourly,€0.6415 hourly,€4.8904 hourly,€4.0573 hourly,€3.4672 hourly,€0.9037 hourly
FX4-2ms v2,FX4-2ms v2,84 GiB,4,0 GiB,€0.5314 hourly,€0.3666 hourly,€0.3028 hourly,€0.1082 hourly,€0.6891 hourly,€0.5243 hourly,€0.4605 hourly,€0.1404 hourly
FX48-24ms v2,FX48-24ms v2,1008 GiB,48,0 GiB,€6.3757 hourly,€4.3992 hourly,€3.6339 hourly,€1.2987 hourly,€9.7722 hourly,€7.3294 hourly,€6.3837 hourly,€1.9906 hourly
FX48mds,FX48mds,1008 GiB,48,2016 GiB,€4.6281 hourly,€3.5174 hourly,€2.7306 hourly,€0.8553 hourly,€6.5205 hourly,€5.4098 hourly,€4.6229 hourly,€1.205 hourly
FX48mds v2,FX48mds v2,1008 GiB,48,2640 GiB,€7.8798 hourly,€5.4371 hourly,€4.4913 hourly,€1.6051 hourly,€9.7722 hourly,€7.3294 hourly,€6.3837 hourly,€1.9906 hourly
FX48ms v2,FX48ms v2,1008 GiB,48,0 GiB,€6.3757 hourly,€4.3992 hourly,€3.6339 hourly,€1.2987 hourly,€8.268 hourly,€6.2916 hourly,€5.5263 hourly,€1.6842 hourly
FX4mds,FX4mds,84 GiB,4,168 GiB,€0.3857 hourly,€0.2931 hourly,€0.2276 hourly,€0.0713 hourly,€0.5434 hourly,€0.4508 hourly,€0.3853 hourly,€0.1004 hourly
FX4mds v2,FX4mds v2,84 GiB,4,220 GiB,€0.6565 hourly,€0.453 hourly,€0.3742 hourly,€0.1337 hourly,€0.8142 hourly,€0.6107 hourly,€0.5319 hourly,€0.1659 hourly
FX4ms v2,FX4ms v2,84 GiB,4,0 GiB,€0.5314 hourly,€0.3666 hourly,€0.3028 hourly,€0.1082 hourly,€0.6891 hourly,€0.5243 hourly,€0.4605 hourly,€0.1404 hourly
FX64-32ms v2,FX64-32ms v2,1344 GiB,64,0 GiB,€8.5003 hourly,€5.8652 hourly,€4.8452 hourly,€1.7315 hourly,€11.0235 hourly,€8.3884 hourly,€7.3684 hourly,€2.2455 hourly
FX64mds v2,FX64mds v2,1344 GiB,64,3520 GiB,€10.5058 hourly,€7.249 hourly,€5.9885 hourly,€2.14 hourly,€13.029 hourly,€9.7722 hourly,€8.5116 hourly,€2.654 hourly
FX64ms v2,FX64ms v2,1344 GiB,64,0 GiB,€8.5003 hourly,€5.8652 hourly,€4.8452 hourly,€1.7315 hourly,€11.0235 hourly,€8.3884 hourly,€7.3684 hourly,€2.2455 hourly
FX8-4ms v2,FX8-4ms v2,168 GiB,8,0 GiB,€1.0628 hourly,€0.7333 hourly,€0.6056 hourly,€0.2165 hourly,€1.6284 hourly,€1.2214 hourly,€1.064 hourly,€0.3317 hourly
FX8mds v2,FX8mds v2,168 GiB,8,440 GiB,€1.313 hourly,€0.906 hourly,€0.7486 hourly,€0.2675 hourly,€1.6284 hourly,€1.2214 hourly,€1.064 hourly,€0.3317 hourly
FX8ms v2,FX8ms v2,168 GiB,8,0 GiB,€1.0628 hourly,€0.7333 hourly,€0.6056 hourly,€0.2165 hourly,€1.3782 hourly,€1.0487 hourly,€0.921 hourly,€0.2807 hourly
FX96-48ms v2,FX96-48ms v2,1832 GiB,96,0 GiB,€12.7505 hourly,€8.7978 hourly,€7.2678 hourly,€2.5973 hourly,€16.5352 hourly,€12.5826 hourly,€11.0526 hourly,€3.3682 hourly
FX96mds v2,FX96mds v2,1832 GiB,96,5280 GiB,€15.7587 hourly,€10.8735 hourly,€8.9826 hourly,€3.2101 hourly,€19.5435 hourly,€14.6583 hourly,€12.7674 hourly,€3.981 hourly
FX96ms v2,FX96ms v2,1832 GiB,96,0 GiB,€12.7505 hourly,€8.7978 hourly,€7.2678 hourly,€2.5973 hourly,€16.5352 hourly,€12.5826 hourly,€11.0526 hourly,€3.3682 hourly
G1,G1,28 GiB,2,384 GiB,€0.5999 hourly,€0.456 hourly,€0.354 hourly,€0.1109 hourly,€0.6599 hourly,€0.5348 hourly,€0.4328 hourly,€0.122 hourly
G2,G2,56 GiB,4,768 GiB,€1.1999 hourly,€0.9119 hourly,€0.708 hourly,€0.2217 hourly,€1.3199 hourly,€1.0696 hourly,€0.8657 hourly,€0.2439 hourly
G3,G3,112 GiB,8,1536 GiB,€2.3998 hourly,€1.8238 hourly,€1.4159 hourly,€0.4435 hourly,€2.6397 hourly,€2.1392 hourly,€1.7313 hourly,€0.4878 hourly
G4,G4,224 GiB,16,3072 GiB,€4.7995 hourly,€3.6476 hourly,€2.8317 hourly,€0.887 hourly,€5.2795 hourly,€4.2784 hourly,€3.4625 hourly,€0.9756 hourly
G5,G5,448 GiB,32,6144 GiB,€8.562 hourly,€6.5071 hourly,€5.0516 hourly,€1.5823 hourly,€9.5134 hourly,€7.7687 hourly,€6.3131 hourly,€1.7581 hourly
GS1,Gs1,28 GiB,2,56 GiB,€0.5999 hourly,€0.456 hourly,€0.354 hourly,€0.1109 hourly,€0.6599 hourly,€0.5348 hourly,€0.4328 hourly,€0.122 hourly
GS2,Gs2,56 GiB,4,112 GiB,€1.1999 hourly,€0.9119 hourly,€0.708 hourly,€0.2217 hourly,€1.3199 hourly,€1.0696 hourly,€0.8657 hourly,€0.2439 hourly
GS3,Gs3,112 GiB,8,224 GiB,€2.3998 hourly,€1.8238 hourly,€1.4159 hourly,€0.4435 hourly,€2.6397 hourly,€2.1392 hourly,€1.7313 hourly,€0.4878 hourly
GS4,Gs4,224 GiB,16,448 GiB,€4.7995 hourly,€3.6476 hourly,€2.8317 hourly,€0.887 hourly,€5.2795 hourly,€4.2784 hourly,€3.4625 hourly,€0.9756 hourly
GS5,Gs5,448 GiB,32,896 GiB,€8.562 hourly,€6.5071 hourly,€5.0516 hourly,€1.5823 hourly,€9.5134 hourly,€7.7687 hourly,€6.3131 hourly,€1.7581 hourly
H16,H16,112 GiB,16,2000 GiB,€1.7698 hourly,€1.4732 hourly,unavailable,€0.3271 hourly,€2.9234 hourly,€2.104 hourly,unavailable,€0.5402 hourly
H16m,H16m,224 GiB,16,2000 GiB,€2.3715 hourly,€1.974 hourly,unavailable,€0.4383 hourly,€3.9168 hourly,€2.6048 hourly,unavailable,€0.7238 hourly
H16mr,H16mr,224 GiB,16,2000 GiB,€2.608 hourly,€2.1709 hourly,unavailable,€0.482 hourly,€4.3084 hourly,€2.8017 hourly,unavailable,€0.7962 hourly
H16r,H16r,112 GiB,16,2000 GiB,€1.9464 hourly,€1.6202 hourly,unavailable,€0.3597 hourly,€3.2157 hourly,€2.251 hourly,unavailable,€0.5943 hourly
H8,H8,56 GiB,8,1000 GiB,€0.8845 hourly,€0.7362 hourly,unavailable,€0.1635 hourly,€1.4621 hourly,€1.0516 hourly,unavailable,€0.2702 hourly
H8m,H8m,112 GiB,8,1000 GiB,€1.1853 hourly,€0.9867 hourly,unavailable,€0.219 hourly,€1.9584 hourly,€1.3021 hourly,unavailable,€0.3619 hourly
HB120-96rs v3,HB120-96rs v3,456 GiB,120,2100 GiB,€4.011 hourly,€3.3388 hourly,€3.0083 hourly,€1.1564 hourly,€8.742 hourly,€8.0697 hourly,€7.7393 hourly,€1.9844 hourly
HB120rs v2,HB120rs v2,456 GiB,120,480 GiB,€4.011 hourly,€3.3388 hourly,€3.0083 hourly,€1.1564 hourly,€8.742 hourly,€8.0697 hourly,€7.7393 hourly,€3.5003 hourly
HB120rs v3,HB120rs v3,456 GiB,120,2100 GiB,€4.011 hourly,€3.3388 hourly,€3.0083 hourly,€0.9105 hourly,€8.742 hourly,€8.0697 hourly,€7.7393 hourly,€1.9844 hourly
HB176-96rs v4,HB176-96rs v4,768 GiB,176,3600 GiB,€8.0221 hourly,€6.6776 hourly,€6.0167 hourly,€1.4825 hourly,€14.9608 hourly,€13.6163 hourly,€12.9555 hourly,€2.7648 hourly
HB176rs v4,HB176rs v4,768 GiB,176,3600 GiB,€8.0221 hourly,€6.6776 hourly,€6.0167 hourly,€1.4825 hourly,€14.9608 hourly,€13.6163 hourly,€12.9555 hourly,€2.7648 hourly
HB368-96rs v5,HB368-96rs v5,438 GiB,368,15 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
HB368rs v5,HB368rs v5,438 GiB,368,15 GiB,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable
HB60-45rs,HB60-45rs,228 GiB,60,700 GiB,€2.5403 hourly,€2.1999 hourly,€2.1593 hourly,€0.4695 hourly,€4.9058 hourly,€4.5654 hourly,€4.5248 hourly,€0.9066 hourly
HB60rs,HB60rs,228 GiB,60,700 GiB,€2.5403 hourly,€2.1999 hourly,€2.1593 hourly,€0.4695 hourly,€4.9058 hourly,€4.5654 hourly,€4.5248 hourly,€0.9066 hourly
HC44-32rs,HC44-32rs,352 GiB,44,700 GiB,€3.5294 hourly,€3.0564 hourly,€3.0003 hourly,€0.6522 hourly,€5.2641 hourly,€4.7911 hourly,€4.735 hourly,€0.9728 hourly
HC44rs,HC44rs,352 GiB,44,700 GiB,€3.5294 hourly,€3.0564 hourly,€3.0003 hourly,€0.6522 hourly,€5.2641 hourly,€4.7911 hourly,€4.735 hourly,€0.9728 hourly
HX176-96rs,HX176-96rs,1408 GiB,176,3600 GiB,€9.6265 hourly,€8.0131 hourly,€7.2197 hourly,€1.779 hourly,€16.5652 hourly,€14.9518 hourly,€14.1585 hourly,€3.0613 hourly
HX176rs,HX176rs,1408 GiB,176,3600 GiB,€9.6265 hourly,€8.0131 hourly,€7.2197 hourly,€1.779 hourly,€16.5652 hourly,€14.9518 hourly,€14.1585 hourly,€3.0613 hourly
L12aos v4,L12aos v4,96 GiB,12,8640 GiB,€1.3884 hourly,€1.0136 hourly,€0.8886 hourly,€0.2566 hourly,€1.8615 hourly,€1.4867 hourly,€1.3617 hourly,€0.344 hourly
L16aos v4,L16aos v4,128 GiB,16,11520 GiB,€1.8512 hourly,€1.3514 hourly,€1.1848 hourly,€0.3421 hourly,€2.482 hourly,€1.9822 hourly,€1.8156 hourly,€0.4587 hourly
L16as v3,L16as v3,128 GiB,16,160 GiB,€1.2753 hourly,€0.9271 hourly,€0.8162 hourly,€0.2598 hourly,€1.9061 hourly,€1.5579 hourly,€1.447 hourly,€0.3883 hourly
L16as v4,L16as v4,128 GiB,16,3840 GiB,€1.3987 hourly,€1.0071 hourly,€0.8532 hourly,€0.2585 hourly,€2.0295 hourly,€1.6379 hourly,€1.484 hourly,€0.3751 hourly
L16s,L16s,128 GiB,16,2807 GiB,€1.2753 hourly,€0.9692 hourly,€1.1253 hourly,€0.2357 hourly,€1.9061 hourly,€1.60 hourly,€1.7561 hourly,€0.3522 hourly
L16s v2,L16s v2,128 GiB,16,160 GiB,€1.2753 hourly,€0.9271 hourly,€0.8123 hourly,€0.2357 hourly,€1.9061 hourly,€1.5579 hourly,€1.4431 hourly,€0.3522 hourly
L16s v3,L16s v3,128 GiB,16,160 GiB,€1.4261 hourly,€1.0369 hourly,€0.9127 hourly,€0.2859 hourly,€2.0569 hourly,€1.6677 hourly,€1.5435 hourly,€0.4124 hourly
L16s v4,L16s v4,128 GiB,16,3840 GiB,€1.4261 hourly,€1.0411 hourly,€0.87 hourly,€0.2636 hourly,€2.0569 hourly,€1.6719 hourly,€1.5008 hourly,€0.3801 hourly
L24aos v4,L24aos v4,192 GiB,24,17280 GiB,€2.7769 hourly,€2.0271 hourly,€1.7772 hourly,€0.5132 hourly,€3.7231 hourly,€2.9733 hourly,€2.7234 hourly,€0.688 hourly
L2aos v4,L2aos v4,16 GiB,2,1440 GiB,€0.2314 hourly,€0.1689 hourly,€0.1481 hourly,€0.0428 hourly,€0.3103 hourly,€0.2478 hourly,€0.227 hourly,€0.0573 hourly
L2as v4,L2as v4,16 GiB,2,480 GiB,€0.1748 hourly,€0.1259 hourly,€0.1066 hourly,€0.0323 hourly,€0.2537 hourly,€0.2047 hourly,€0.1855 hourly,€0.0469 hourly
L2s v4,L2s v4,16 GiB,2,480 GiB,€0.1783 hourly,€0.1301 hourly,€0.1087 hourly,€0.0329 hourly,€0.2571 hourly,€0.209 hourly,€0.1875 hourly,€0.0475 hourly
L32aos v4,L32aos v4,256 GiB,32,23040 GiB,€3.7025 hourly,€2.7028 hourly,€2.3696 hourly,€0.6842 hourly,€4.9641 hourly,€3.9644 hourly,€3.6312 hourly,€0.9174 hourly
L32as v3,L32as v3,256 GiB,32,320 GiB,€2.5506 hourly,€1.8543 hourly,€1.6324 hourly,€0.5196 hourly,€3.8122 hourly,€3.1159 hourly,€2.894 hourly,€0.7765 hourly
L32as v4,L32as v4,256 GiB,32,7680 GiB,€2.7974 hourly,€2.0142 hourly,€1.7065 hourly,€0.517 hourly,€4.059 hourly,€3.2757 hourly,€2.9681 hourly,€0.7501 hourly
L32s,L32s,256 GiB,32,5630 GiB,€2.5506 hourly,€1.9385 hourly,€2.2507 hourly,€0.4714 hourly,€3.8122 hourly,€3.2001 hourly,€3.5122 hourly,€0.7045 hourly
L32s v2,L32s v2,256 GiB,32,320 GiB,€2.5506 hourly,€1.8543 hourly,€1.6247 hourly,€0.4714 hourly,€3.8122 hourly,€3.1159 hourly,€2.8863 hourly,€0.7045 hourly
L32s v3,L32s v3,256 GiB,32,320 GiB,€2.8523 hourly,€2.0739 hourly,€1.8255 hourly,€0.5719 hourly,€4.1139 hourly,€3.3355 hourly,€3.087 hourly,€0.8248 hourly
L32s v4,L32s v4,256 GiB,32,7680 GiB,€2.8523 hourly,€2.0822 hourly,€1.7399 hourly,€0.5271 hourly,€4.1139 hourly,€3.3438 hourly,€3.0015 hourly,€0.7602 hourly
L48as v3,L48as v3,384 GiB,48,480 GiB,€3.8259 hourly,€2.7814 hourly,€2.4486 hourly,€0.7793 hourly,€5.7183 hourly,€4.6738 hourly,€4.341 hourly,€1.1648 hourly
L48as v4,L48as v4,384 GiB,48,11520 GiB,€4.1962 hourly,€3.0212 hourly,€2.5596 hourly,€0.7755 hourly,€6.0885 hourly,€4.9136 hourly,€4.452 hourly,€1.1252 hourly
L48s v2,L48s v2,384 GiB,48,480 GiB,€3.8259 hourly,€2.7814 hourly,€2.437 hourly,€0.707 hourly,€5.7183 hourly,€4.6738 hourly,€4.3294 hourly,€1.0567 hourly
L48s v3,L48s v3,384 GiB,48,480 GiB,€4.2784 hourly,€3.1108 hourly,€2.7382 hourly,€0.8578 hourly,€6.1708 hourly,€5.0032 hourly,€4.6306 hourly,€1.2372 hourly
L48s v4,L48s v4,384 GiB,48,11520 GiB,€4.2784 hourly,€3.1233 hourly,€2.6098 hourly,€0.7907 hourly,€6.1708 hourly,€5.0156 hourly,€4.5022 hourly,€1.1404 hourly
L4aos v4,L4aos v4,32 GiB,4,2880 GiB,€0.4628 hourly,€0.3379 hourly,€0.2962 hourly,€0.0855 hourly,€0.6205 hourly,€0.4956 hourly,€0.4539 hourly,€0.1147 hourly
L4as v4,L4as v4,32 GiB,4,960 GiB,€0.3497 hourly,€0.2518 hourly,€0.2133 hourly,€0.0646 hourly,€0.5074 hourly,€0.4095 hourly,€0.371 hourly,€0.0938 hourly
L4s,L4s,32 GiB,4,678 GiB,€0.3188 hourly,€0.2423 hourly,€0.2813 hourly,€0.0589 hourly,€0.4765 hourly,€0.40 hourly,€0.439 hourly,€0.0881 hourly
L4s v4,L4s v4,32 GiB,4,960 GiB,€0.3565 hourly,€0.2603 hourly,€0.2175 hourly,€0.0659 hourly,€0.5142 hourly,€0.418 hourly,€0.3752 hourly,€0.095 hourly
L64as v3,L64as v3,512 GiB,64,640 GiB,€5.1012 hourly,€3.7086 hourly,€3.2647 hourly,€1.0391 hourly,€7.6244 hourly,€6.2318 hourly,€5.7879 hourly,€1.5531 hourly
L64as v4,L64as v4,512 GiB,64,15360 GiB,€5.5949 hourly,€4.0283 hourly,€3.4129 hourly,€1.0339 hourly,€8.1181 hourly,€6.5515 hourly,€5.9361 hourly,€1.5002 hourly
L64s v2,L64s v2,512 GiB,64,640 GiB,€5.1012 hourly,€3.7086 hourly,€3.2495 hourly,€0.9427 hourly,€7.6244 hourly,€6.2318 hourly,€5.7727 hourly,€1.409 hourly
L64s v3,L64s v3,512 GiB,64,640 GiB,€5.7046 hourly,€4.1478 hourly,€3.6509 hourly,€1.1438 hourly,€8.2278 hourly,€6.671 hourly,€6.1741 hourly,€1.6497 hourly
L64s v4,L64s v4,512 GiB,64,15360 GiB,€5.7046 hourly,€4.1643 hourly,€3.4798 hourly,€1.0542 hourly,€8.2278 hourly,€6.6875 hourly,€6.003 hourly,€1.5205 hourly
L80as v3,L80as v3,640 GiB,80,800 GiB,€6.3765 hourly,€4.6357 hourly,€4.081 hourly,€1.2989 hourly,€9.5305 hourly,€7.7897 hourly,€7.235 hourly,€1.9414 hourly
L80as v4,L80as v4,640 GiB,80,19200 GiB,€6.9936 hourly,€5.0354 hourly,€4.2661 hourly,€1.2924 hourly,€10.1476 hourly,€8.1894 hourly,€7.4201 hourly,€1.8753 hourly
L80s v2,L80s v2,640 GiB,80,800 GiB,€6.3765 hourly,€4.6357 hourly,€4.0618 hourly,€1.1784 hourly,€9.5305 hourly,€7.7897 hourly,€7.2158 hourly,€1.7612 hourly
L80s v3,L80s v3,640 GiB,80,800 GiB,€7.1307 hourly,€5.1848 hourly,€4.5636 hourly,€1.4297 hourly,€10.2847 hourly,€8.3387 hourly,€7.7176 hourly,€2.0621 hourly
L80s v4,L80s v4,640 GiB,80,19200 GiB,€7.1307 hourly,€5.2054 hourly,€4.3498 hourly,€1.3178 hourly,€10.2847 hourly,€8.3594 hourly,€7.5037 hourly,€1.9006 hourly
L8aos v4,L8aos v4,64 GiB,8,5760 GiB,€0.9256 hourly,€0.6757 hourly,€0.5924 hourly,€0.1711 hourly,€1.241 hourly,€0.9911 hourly,€0.9078 hourly,€0.2293 hourly
L8as v3,L8as v3,64 GiB,8,80 GiB,€0.6377 hourly,€0.4636 hourly,€0.4081 hourly,€0.1299 hourly,€0.953 hourly,€0.779 hourly,€0.7235 hourly,€0.1941 hourly
L8as v4,L8as v4,64 GiB,8,1920 GiB,€0.6994 hourly,€0.5035 hourly,€0.4266 hourly,€0.1292 hourly,€1.0148 hourly,€0.8189 hourly,€0.742 hourly,€0.1875 hourly
L8s,L8s,64 GiB,8,1388 GiB,€0.6377 hourly,€0.4846 hourly,€0.5627 hourly,€0.1178 hourly,€0.953 hourly,€0.80 hourly,€0.8781 hourly,€0.1761 hourly
L8s v2,L8s v2,64 GiB,8,80 GiB,€0.6377 hourly,€0.4636 hourly,€0.4062 hourly,€0.1178 hourly,€0.953 hourly,€0.779 hourly,€0.7216 hourly,€0.1761 hourly
L8s v3,L8s v3,64 GiB,8,80 GiB,€0.7131 hourly,€0.5185 hourly,€0.4564 hourly,€0.143 hourly,€1.0285 hourly,€0.8339 hourly,€0.7718 hourly,€0.2062 hourly
L8s v4,L8s v4,64 GiB,8,1920 GiB,€0.7131 hourly,€0.5205 hourly,€0.435 hourly,€0.1318 hourly,€1.0148 hourly,€0.8359 hourly,€0.7504 hourly,€0.1875 hourly
L96as v4,L96as v4,768 GiB,96,23040 GiB,€8.3923 hourly,€6.0425 hourly,€5.1194 hourly,€1.5509 hourly,€12.1771 hourly,€9.8272 hourly,€8.9041 hourly,€2.2503 hourly
L96s v4,L96s v4,768 GiB,96,23040 GiB,€8.5569 hourly,€6.2465 hourly,€5.2197 hourly,€1.5813 hourly,€12.3416 hourly,€10.0313 hourly,€9.0045 hourly,€2.2807 hourly
M128,M128,2048 GiB,128,14336 GiB,€32.0225 hourly,€22.0923 hourly,€18.3655 hourly,€5.9177 hourly,€39.844 hourly,€27.1387 hourly,€23.4119 hourly,€7.3632 hourly
M128bds 3 v3,M128bds3 v3,2794 GiB,128,6000 GiB,€51.2007 hourly,€34.8165 hourly,€30.2105 hourly,€9.5387 hourly,€56.2488 hourly,€39.8628 hourly,€35.2569 hourly,€10.4791 hourly
M128bds v3,M128bds v3,1024 GiB,128,400 GiB,€13.053 hourly,€8.876 hourly,€7.7009 hourly,€2.4318 hourly,€18.1011 hourly,€13.9224 hourly,€12.7473 hourly,€3.3722 hourly
M128bs v3,M128bs v3,1024 GiB,128,0 GiB,€12.4274 hourly,€8.4506 hourly,€7.3342 hourly,€2.2966 hourly,unavailable,unavailable,unavailable,€2.9412 hourly
M128dms v2,M128dms v2,3892 GiB,128,4096 GiB,€32.0249 hourly,€22.0939 hourly,€18.6257 hourly,€5.9182 hourly,€37.0712 hourly,€27.1403 hourly,€23.672 hourly,€6.8508 hourly
M128ds v2,M128ds v2,2048 GiB,128,4096 GiB,€16.0064 hourly,€11.0428 hourly,€9.3094 hourly,€2.958 hourly,€21.0528 hourly,€16.0892 hourly,€14.3557 hourly,€3.8906 hourly
M128m,M128m,3892 GiB,128,14336 GiB,€32.0225 hourly,€22.0923 hourly,€18.3655 hourly,€5.9177 hourly,€39.844 hourly,€27.1387 hourly,€23.4119 hourly,€7.3632 hourly
M128ms,M128ms,3892 GiB,128,4096 GiB,€32.0225 hourly,€22.0923 hourly,€18.3655 hourly,€5.9177 hourly,€39.844 hourly,€27.1387 hourly,€23.4119 hourly,€7.3632 hourly
M128ms v2,M128ms v2,3892 GiB,128,0 GiB,€31.52 hourly,€21.7457 hourly,€18.332 hourly,€5.8249 hourly,€36.5664 hourly,€26.792 hourly,€23.3783 hourly,€6.7575 hourly
M128s,M128s,2048 GiB,128,4096 GiB,€16.0039 hourly,€11.0411 hourly,€9.179 hourly,€2.9575 hourly,€21.0511 hourly,€16.0874 hourly,€14.2254 hourly,€3.8902 hourly
M128s v2,M128s v2,2048 GiB,128,0 GiB,€15.5016 hourly,€10.6946 hourly,€9.0157 hourly,€2.8647 hourly,€20.548 hourly,€15.7409 hourly,€14.062 hourly,€3.7973 hourly
M12ds v3,M12ds v3,240 GiB,12,400 GiB,€1.9541 hourly,€1.3481 hourly,€1.1365 hourly,€0.364 hourly,€2.434 hourly,€1.8212 hourly,€1.6096 hourly,€0.4535 hourly
M12s v3,M12s v3,240 GiB,12,0 GiB,€1.8427 hourly,€1.2713 hourly,€1.0717 hourly,€0.3405 hourly,€2.3141 hourly,€1.7444 hourly,€1.5448 hourly,€0.4276 hourly
M16-8ms,M16-8ms,437.5 GiB,16,256 GiB,€3.6872 hourly,€2.5438 hourly,€2.1204 hourly,€0.6814 hourly,€4.665 hourly,€3.1746 hourly,€2.7512 hourly,€0.8621 hourly
M16bds v3,M16bds v3,128 GiB,16,400 GiB,€1.6284 hourly,€1.1073 hourly,€0.9629 hourly,€0.3034 hourly,€2.2626 hourly,€1.7381 hourly,€1.5937 hourly,€0.4215 hourly
M16bs v3,M16bs v3,128 GiB,16,0 GiB,€1.5513 hourly,€1.0549 hourly,€0.917 hourly,€0.2867 hourly,€2.1855 hourly,€1.6857 hourly,€1.5478 hourly,€0.4039 hourly
M16ms,M16ms,437.5 GiB,16,512 GiB,€3.6872 hourly,€2.5438 hourly,€2.1204 hourly,€0.6814 hourly,€4.665 hourly,€3.1746 hourly,€2.7512 hourly,€0.8621 hourly
M176-88bds v3,M176-88bds v3,1536 GiB,176,400 GiB,€17.9468 hourly,€12.2038 hourly,€10.5889 hourly,€3.3435 hourly,unavailable,unavailable,unavailable,unavailable
M176bds 4 v3,M176bds4 v3,3892 GiB,176,8000 GiB,€70.0046 hourly,€47.6031 hourly,€41.3035 hourly,€13.0418 hourly,€76.9467 hourly,€54.5418 hourly,€48.2422 hourly,€14.3352 hourly
