Name,API Name,Instance Family,CoreMark Score,FFmpeg FPS,Instance Memory,Compute Units (ECU),vCPUs,Instance Storage,Network Performance,Max IPs,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
P3 High Performance GPU 16xlarge Extra Large,p3.16xlarge,p3,N/A,N/A,488 GiB,201 units,64 vCPUs,EBS only,25 Gigabit,240,€26.2123 hourly,unavailable,€5.6604 hourly,€28.7355 hourly,unavailable
P3 High Performance GPU Eight Extra Large,p3.8xlarge,p3,N/A,N/A,244 GiB,97 units,32 vCPUs,EBS only,10 Gigabit,240,€13.1061 hourly,unavailable,€1.3106 hourly,€14.3677 hourly,unavailable
R3 High-Memory Quadruple Extra Large,r3.4xlarge,r3,"22.514,071",78.0 fps,122 GiB,52 units,16 vCPUs,320 GB SSD,High,240,€1.3713 hourly,€1.0028 hourly,€0.3923 hourly,€1.9095 hourly,€1.5796 hourly
R3 High-Memory Eight Extra Large,r3.8xlarge,r3,"23.592,325",141.0 fps,244 GiB,104 units,32 vCPUs,640 GB (2×320 GB SSD),10 Gigabit,240,€2.7434 hourly,€2.0064 hourly,€1.1749 hourly,€3.4874 hourly,€2.3089 hourly
R4 High-Memory Quadruple Extra Large,r4.4xlarge,r4,"21.945,867",78.0 fps,122 GiB,58 units,16 vCPUs,EBS only,Up to 10 Gigabit,240,€1.0974 hourly,€0.6911 hourly,€0.4003 hourly,€1.7282 hourly,€1.3219 hourly
R4 High-Memory Eight Extra Large,r4.8xlarge,r4,"22.029,667",137.0 fps,244 GiB,97 units,32 vCPUs,EBS only,10 Gigabit,240,€2.1948 hourly,€1.3823 hourly,€0.7204 hourly,€3.4563 hourly,€2.6439 hourly
R5 12xlarge Extra Large,r5.12xlarge,r5,"23.724,792",159.0 fps,384 GiB,168 units,48 vCPUs,EBS only,12 Gigabit,240,€3.1266 hourly,€1.9695 hourly,€0.9837 hourly,€5.0189 hourly,€3.8619 hourly
R5 Quadruple Extra Large,r5.4xlarge,r5,"20.738,283",77.0 fps,128 GiB,70 units,16 vCPUs,EBS only,Up to 10 Gigabit,240,€1.0422 hourly,€0.6565 hourly,€0.337 hourly,€1.673 hourly,€1.2873 hourly
R5 Eight Extra Large,r5.8xlarge,r5,"21.690,406",134.0 fps,256 GiB,128 units,32 vCPUs,EBS only,10 Gigabit,240,€2.0844 hourly,€1.313 hourly,€0.5849 hourly,€3.346 hourly,€2.5746 hourly
R5A 12xlarge Extra Large,r5a.12xlarge,r5a,"16.736,402",111.0 fps,384 GiB,0 units,48 vCPUs,EBS only,10 Gigabit,240,€2.818 hourly,€1.7724 hourly,€1.1648 hourly,€4.7104 hourly,€3.6648 hourly
R5A Quadruple Extra Large,r5a.4xlarge,r5a,"16.225,864",68.0 fps,128 GiB,0 units,16 vCPUs,EBS only,Up to 10 Gigabit,240,€0.9393 hourly,€0.5905 hourly,€0.534 hourly,€1.5701 hourly,€1.2213 hourly
R5A Eight Extra Large,r5a.8xlarge,r5a,"17.571,604",101.0 fps,256 GiB,0 units,32 vCPUs,EBS only,Up to 10 Gigabit,240,€1.8787 hourly,€1.1819 hourly,€0.8349 hourly,€3.1403 hourly,€2.4435 hourly
